Date,IOZ.AX,OZF.AX,OZR.AX,QFN.AX,QHL.AX,QRE.AX,SLF.AX,STW.AX
2008-01-02,,,,,,,9.495779037475586,34.75393295288086
2008-01-03,,,,,,,9.228362083435059,34.424400329589844
2008-01-04,,,,,,,9.20891284942627,34.509620666503906
2008-01-07,,,,,,,8.912322044372559,33.71988296508789
2008-01-08,,,,,,,8.81021499633789,33.532405853271484
2008-01-09,,,,,,,8.79076862335205,33.310813903808594
2008-01-10,,,,,,,8.64976692199707,33.25968933105469
2008-01-11,,,,,,,8.41152286529541,32.73129653930664
2008-01-14,,,,,,,8.304556846618652,32.71994400024414
2008-01-15,,,,,,,8.139239311218262,32.611995697021484
2008-01-16,,,,,,,8.110069274902344,31.78816795349121
2008-01-17,,,,,,,8.19272518157959,31.714309692382812
2008-01-18,,,,,,,8.148963928222656,31.447267532348633
2008-01-21,,,,,,,8.022549629211426,30.53254508972168
2008-01-22,,,,,,,7.521747589111328,28.37925148010254
2008-01-23,,,,,,,7.628715515136719,29.61213493347168
2008-01-24,,,,,,,8.148963928222656,30.53254508972168
2008-01-25,,,,,,,8.591422080993652,32.066566467285156
2008-01-29,,,,,,,8.275379180908203,31.276836395263672
2008-01-30,,,,,,,8.119791984558105,30.73708724975586
2008-01-31,,,,,,,8.19272518157959,30.913211822509766
2008-02-01,,,,,,,8.479593276977539,31.964298248291016
2008-02-04,,,,,,,8.57683277130127,32.100650787353516
2008-02-05,,,,,,,8.338586807250977,31.69159507751465
2008-02-06,,,,,,,7.969062805175781,30.685958862304688
2008-02-07,,,,,,,7.959338188171387,30.617774963378906
2008-02-08,,,,,,,8.153824806213379,30.952974319458008
2008-02-11,,,,,,,8.114933013916016,30.322338104248047
2008-02-12,,,,,,,8.21217155456543,30.70866584777832
2008-02-13,,,,,,,8.21217155456543,30.345062255859375
2008-02-14,,,,,,,8.333725929260254,31.129112243652344
2008-02-15,,,,,,,8.226757049560547,30.702993392944336
2008-02-18,,,,,,,8.251065254211426,30.48141860961914
2008-02-19,,,,,,,8.445554733276367,30.816619873046875
2008-02-20,,,,,,,8.158687591552734,30.151874542236328
2008-02-21,,,,,,,8.095479011535645,30.634815216064453
2008-02-22,,,,,,,7.871823310852051,30.504127502441406
2008-02-25,,,,,,,7.7940287590026855,30.890485763549805
2008-02-26,,,,,,,7.921655178070068,31.167465209960938
2008-02-27,,,,,,,8.063875198364258,31.73891258239746
2008-02-28,,,,,,,7.982144832611084,31.11643409729004
2008-02-29,,,,,,,7.787656784057617,30.695045471191406
2008-03-03,,,,,,,7.446335792541504,29.85514259338379
2008-03-04,,,,,,,7.381086349487305,29.73457908630371
2008-03-05,,,,,,,7.477015495300293,29.722187042236328
2008-03-06,,,,,,,7.637904644012451,30.05046844482422
2008-03-07,,,,,,,7.184070587158203,29.108638763427734
2008-03-10,,,,,,,7.246888160705566,28.64821434020996
2008-03-11,,,,,,,7.132335662841797,28.391414642333984
2008-03-12,,,,,,,7.255591869354248,29.076488494873047
2008-03-13,,,,,,,7.146437168121338,28.407081604003906
2008-03-14,,,,,,,7.267017841339111,28.807466506958008
2008-03-17,,,,,,,6.89292573928833,28.15260887145996
2008-03-18,,,,,,,7.061007022857666,28.147214889526367
2008-03-19,,,,,,,7.447598457336426,29.27113151550293
2008-03-20,,,,,,,7.367133617401123,28.389190673828125
2008-03-25,,,,,,,7.580140113830566,29.46096420288086
2008-03-26,,,,,,,7.750558853149414,29.8111629486084
2008-03-27,,,,,,,7.66499137878418,29.753271102905273
2008-03-28,,,,,,,7.610673904418945,29.64112663269043
2008-03-31,,,,,,,7.815081596374512,29.663381576538086
2008-04-01,,,,,,,7.693088531494141,29.698896408081055
2008-04-02,,,,,,,7.898953437805176,30.490158081054688
2008-04-03,,,,,,,7.918984889984131,31.074167251586914
2008-04-04,,,,,,,7.909455299377441,31.134557723999023
2008-04-07,,,,,,,7.965178966522217,31.174108505249023
2008-04-08,,,,,,,8.055418014526367,30.876338958740234
2008-04-09,,,,,,,7.8230061531066895,30.59067153930664
2008-04-10,,,,,,,7.57367467880249,30.180519104003906
2008-04-11,,,,,,,7.545860767364502,30.140968322753906
2008-04-14,,,,,,,7.387694358825684,29.603851318359375
2008-04-15,,,,,,,7.560156345367432,29.927349090576172
2008-04-16,,,,,,,7.6814703941345215,30.310863494873047
2008-04-17,,,,,,,7.659491062164307,30.581512451171875
2008-04-18,,,,,,,7.5652618408203125,30.08915901184082
2008-04-21,,,,,,,7.817994594573975,31.035884857177734
2008-04-22,,,,,,,7.741468906402588,30.833206176757812
2008-04-23,,,,,,,7.792712688446045,31.320505142211914
2008-04-24,,,,,,,7.676998138427734,30.957298278808594
2008-04-28,,,,,,,7.815469741821289,31.11496925354004
2008-04-29,,,,,,,7.985548973083496,31.06553840637207
