DATE,EPU
2009-03-01,133.46071
2009-04-01,119.99919
2009-05-01,122.96011
2009-06-01,113.23892
2009-07-01,95.94823
2009-08-01,91.37744
2009-09-01,104.3236
2009-10-01,105.04014
2009-11-01,133.00749
2009-12-01,115.26261
2010-01-01,142.00355
2010-02-01,136.73906
2010-03-01,137.8383
2010-04-01,152.78447
2010-05-01,203.30524
2010-06-01,171.40265
2010-07-01,186.55523
2010-08-01,172.81606
2010-09-01,161.69015
2010-10-01,186.14112
2010-11-01,172.68817
2010-12-01,183.07599
2011-01-01,143.03174
2011-02-01,122.44579
2011-03-01,154.40152
2011-04-01,145.50861
2011-05-01,134.21508
2011-06-01,168.29589
2011-07-01,183.40234
2011-08-01,230.29894
2011-09-01,280.05813
2011-10-01,241.75185
2011-11-01,304.60022
2011-12-01,228.87159
2012-01-01,216.73445
2012-02-01,193.44436
2012-03-01,177.49269
2012-04-01,216.99586
2012-05-01,234.75578
2012-06-01,244.50211
2012-07-01,206.98157
2012-08-01,150.67718
2012-09-01,209.91195
2012-10-01,219.08266
2012-11-01,233.5614
2012-12-01,215.66849
2013-01-01,239.81543
2013-02-01,194.1661
2013-03-01,245.34693
2013-04-01,205.62408
2013-05-01,139.13821
2013-06-01,177.53464
2013-07-01,166.71268
2013-08-01,146.03975
2013-09-01,179.70527
2013-10-01,210.52538
2013-11-01,156.70507
2013-12-01,157.99862
2014-01-01,154.50244
2014-02-01,148.43662
2014-03-01,156.84341
2014-04-01,116.48549
2014-05-01,146.29191
2014-06-01,111.7961
2014-07-01,119.93393
2014-08-01,133.31537
2014-09-01,190.21558
2014-10-01,150.03065
2014-11-01,152.42489
2014-12-01,176.02395
2015-01-01,168.98523
2015-02-01,155.09365
2015-03-01,131.74544
2015-04-01,147.32096
2015-05-01,165.58477
2015-06-01,193.94799
2015-07-01,184.48753
2015-08-01,143.71116
2015-09-01,194.46083
2015-10-01,164.83114
2015-11-01,164.40215
2015-12-01,147.41888
2016-01-01,209.74029
2016-02-01,227.79281
2016-03-01,227.75331
2016-04-01,207.01125
2016-05-01,198.46472
2016-06-01,433.2775
2016-07-01,424.37718
2016-08-01,213.36659
2016-09-01,232.698
2016-10-01,241.63064
2016-11-01,392.83106
2016-12-01,288.42847
2017-01-01,320.02379
2017-02-01,237.06756
2017-03-01,267.06935
2017-04-01,249.2189
2017-05-01,197.58968
2017-06-01,274.39018
2017-07-01,181.41523
2017-08-01,149.70865
2017-09-01,205.76641
2017-10-01,227.23362
2017-11-01,229.71336
2017-12-01,173.39307
2018-01-01,196.43604
2018-02-01,135.16371
2018-03-01,175.57617
2018-04-01,150.18455
2018-05-01,224.51606
2018-06-01,233.21189
2018-07-01,208.2721
2018-08-01,166.83116
2018-09-01,204.80449
2018-10-01,246.06097
2018-11-01,231.17001
2018-12-01,275.70745
2019-01-01,247.67711
2019-02-01,230.15161
2019-03-01,229.38424
2019-04-01,214.20435
2019-05-01,196.30671
2019-06-01,205.54046
2019-07-01,229.73694
2019-08-01,277.04245
2019-09-01,245.14056
2019-10-01,250.56589
2019-11-01,222.59568
2019-12-01,235.98632
2020-01-01,199.22176
2020-02-01,204.83529
2020-03-01,361.36888
2020-04-01,297.89851
2020-05-01,282.24844
2020-06-01,247.64984
2020-07-01,248.82286
2020-08-01,213.09036
2020-09-01,278.59221
2020-10-01,311.5825
2020-11-01,328.15252
2020-12-01,208.95865
2021-01-01,231.37864
2021-02-01,185.27867
2021-03-01,217.46619
2021-04-01,179.65824
2021-05-01,141.38606
2021-06-01,152.61494
2021-07-01,197.37942
2021-08-01,187.20578
2021-09-01,206.72854
2021-10-01,198.51042
2021-11-01,246.60827
2021-12-01,298.15951
2022-01-01,264.63419
2022-02-01,220.46791
2022-03-01,392.01202
2022-04-01,334.669
2022-05-01,328.47521
2022-06-01,332.62825
2022-07-01,403.90579
2022-08-01,327.91541
2022-09-01,396.80379
2022-10-01,418.61884
2022-11-01,357.08668
2022-12-01,279.6471
2023-01-01,281.77821
2023-02-01,272.40225
2023-03-01,324.77326
2023-04-01,244.23158
2023-05-01,265.50803
2023-06-01,247.21465
2023-07-01,263.57203
2023-08-01,287.96256
2023-09-01,319.51199
2023-10-01,314.2169
2023-11-01,315.77124
2023-12-01,281.71082
2024-01-01,323.41011
2024-02-01,276.98234
2024-03-01,231.31778
2024-04-01,268.1715
2024-05-01,290.83528
2024-06-01,327.50626
2024-07-01,361.85379
2024-08-01,263.42825
2024-09-01,345.05096
2024-10-01,392.07715
2024-11-01,479.98873
2024-12-01,484.41531
2025-01-01,479.90402
2025-02-01,396.80715
2025-03-01,576.93663
2025-04-01,779.26774
2025-05-01,579.66497
2025-06-01,479.90868
2025-07-01,592.67219
2025-08-01,413.15994
2025-09-01,471.42576
2025-10-01,452.68354
2025-11-01,426.73537
2025-12-01,353.29317
2026-01-01,429.10733
2026-02-01,389.38073
2026-03-01,513.84113
