Date,EXH1.DE,EXV1.DE,EXV3.DE,EXV4.DE,EXV5.DE,EXV9.DE,EXX1.DE,^STOXX50E
2007-10-02,,,,,,,,4427.009765625
2007-10-03,,,,,,,,4421.580078125
2007-10-04,,,,,,,,4420.39013671875
2007-10-05,,,,,,,,4455.31005859375
2007-10-08,,,,,,,,4435.8701171875
2007-10-09,,,,,,,,4447.580078125
2007-10-10,,,,,,,,4442.60986328125
2007-10-11,,,,,,,,4473.56982421875
2007-10-12,,,,,,,,4476.02001953125
2007-10-15,,,,,,,,4434.97998046875
2007-10-16,,,,,,,,4420.91015625
2007-10-17,,,,,,,,4441.7998046875
2007-10-18,,,,,,,,4420.3798828125
2007-10-19,,,,,,,,4411.259765625
2007-10-22,,,,,,,,4356.240234375
2007-10-23,,,,,,,,4378.419921875
2007-10-24,,,,,,,,4357.14013671875
2007-10-25,,,,,,,,4412.1201171875
2007-10-26,,,,,,,,4440.22998046875
2007-10-29,,,,,,,,4471.4599609375
2007-10-30,,,,,,,,4462.9501953125
2007-10-31,,,,,,,,4489.7900390625
2007-11-01,,,,,,,,4415.27001953125
2007-11-02,,,,,,,,4410.080078125
2007-11-05,,,,,,,,4392.7998046875
2007-11-06,,,,,,,,4407.33984375
2007-11-07,,,,,,,,4400.33984375
2007-11-08,,,,,,,,4363.60009765625
2007-11-09,,,,,,,,4297.830078125
2007-11-12,,,,,,,,4302.8798828125
2007-11-13,,,,,,,,4311.97998046875
2007-11-14,,,,,,,,4338.27978515625
2007-11-15,,,,,,,,4301.43994140625
2007-11-16,,,,,,,,4282.39990234375
2007-11-19,,,,,,,,4226.7001953125
2007-11-20,,,,,,,,4277.240234375
2007-11-21,,,,,,,,4195.580078125
2007-11-22,,,,,,,,4208.919921875
2007-11-23,,,,,,,,4268.52978515625
2007-11-26,,,,,,,,4238.0
2007-11-27,,,,,,,,4224.43994140625
2007-11-28,,,,,,,,4321.740234375
2007-11-29,,,,,,,,4347.0
2007-11-30,,,,,,,,4394.9501953125
2007-12-03,,,,,,,,4371.669921875
2007-12-04,,,,,,,,4339.10009765625
2007-12-05,,,,,,,,4410.0
2007-12-06,,,,,,,,4414.66015625
2007-12-07,,,,,,,,4446.33984375
2007-12-10,,,,,,,,4465.52001953125
2007-12-11,,,,,,,,4449.9501953125
2007-12-12,,,,,,,,4469.47021484375
2007-12-13,,,,,,,,4370.759765625
2007-12-14,,,,,,,,4384.64990234375
2007-12-17,,,,,,,,4312.47021484375
2007-12-18,,,,,,,,4309.14013671875
2007-12-19,,,,,,,,4301.33984375
2007-12-20,,,,,,,,4314.7001953125
2007-12-21,,,,,,,,4384.5498046875
2007-12-24,,,,,,,,4384.5498046875
2007-12-27,,,,,,,,4404.60986328125
2007-12-28,,,,,,,,4404.64013671875
2007-12-31,,,,,,,,4399.72021484375
2008-01-02,25.280582427978516,24.841266632080078,25.547285079956055,30.4346923828125,22.436946868896484,12.692161560058594,23.605695724487305,
2008-01-03,25.758451461791992,24.72393226623535,25.478469848632812,30.24933624267578,21.87840461730957,12.4031982421875,23.460128784179688,4333.419921875
2008-01-04,25.377296447753906,24.23696517944336,24.58388328552246,29.940444946289062,20.647066116333008,12.040141105651855,23.122407913208008,4270.52978515625
2008-01-07,25.73569679260254,24.107887268066406,23.76671028137207,30.504194259643555,20.520126342773438,11.810452461242676,23.035062789916992,4283.3701171875
2008-01-08,25.610538482666016,24.0316104888916,24.050569534301758,31.562191009521484,20.57089614868164,11.743772506713867,22.877843856811523,4295.22998046875
2008-01-09,25.212329864501953,23.71479606628418,23.285018920898438,32.14908981323242,20.113908767700195,11.254755020141602,22.639110565185547,4258.31982421875
2008-01-10,24.734474182128906,23.48597526550293,23.345233917236328,32.08732223510742,20.253543853759766,11.091751098632812,22.528474807739258,4237.6201171875
2008-01-11,24.381771087646484,23.667844772338867,23.328020095825195,31.724365234375,20.51377296447754,11.225114822387695,22.78468132019043,4225.31005859375
2008-01-14,24.33627700805664,23.726531982421875,23.809730529785156,31.46950912475586,20.843828201293945,11.343668937683105,22.85455894470215,4236.68017578125
2008-01-15,23.68776512145996,22.9168701171875,23.422643661499023,30.712711334228516,20.069477081298828,11.017656326293945,22.056827545166016,4140.93994140625
2008-01-16,23.215593338012695,22.617639541625977,23.250606536865234,30.836273193359375,20.07582664489746,11.0695219039917,21.80645179748535,4108.33984375
2008-01-17,22.970983505249023,22.50617027282715,23.31082534790039,30.55825424194336,19.631534576416016,11.15843391418457,21.59682846069336,4065.760009765625
2008-01-18,22.811687469482422,21.94293975830078,22.9753475189209,30.53508758544922,19.269750595092773,11.017656326293945,21.014545440673828,3995.169921875
2008-01-21,21.497608184814453,20.45855140686035,21.530254364013672,29.322649002075195,18.660429000854492,10.506415367126465,19.488967895507812,3703.050048828125
2008-01-22,21.70240592956543,21.426624298095703,21.882923126220703,29.384431838989258,18.812761306762695,10.980607032775879,20.23428726196289,3753.679931640625
2008-01-23,20.684123992919922,20.951387405395508,21.211990356445312,28.75116729736328,18.13361930847168,11.032478332519531,19.477319717407227,3577.989990234375
2008-01-24,21.873064041137695,22.20694923400879,23.04416275024414,29.12958335876465,19.168195724487305,11.640035629272461,20.612773895263672,3809.070068359375
2008-01-25,22.174562454223633,21.948795318603516,23.46565055847168,28.774330139160156,19.314176559448242,11.484442710876465,20.28668975830078,3777.06005859375
2008-01-28,21.850299835205078,21.690643310546875,22.940942764282227,28.54265785217285,19.568063735961914,11.365893363952637,20.222639083862305,3765.409912109375
2008-01-29,22.140426635742188,22.165884017944336,23.16459083557129,28.697113037109375,19.790210723876953,11.625221252441406,20.63606071472168,3810.010009765625
