DATE,UNRATE
1990-07-01,7.58981635694048
1990-08-01,7.64405348279086
1990-09-01,7.6992398582415
1990-10-01,7.72448081002017
1990-11-01,7.76291511193944
1990-12-01,7.79253021767673
1991-01-01,7.79054338534118
1991-02-01,7.80848028270468
1991-03-01,7.83096983884386
1991-04-01,7.86967002271496
1991-05-01,7.92918530970398
1991-06-01,7.59485245559194
1991-07-01,7.76327853263189
1991-08-01,7.82294688496506
1991-09-01,7.84262729119874
1991-10-01,7.90077386013615
1991-11-01,7.9541500480484
1991-12-01,7.97428847423007
1992-01-01,8.13456085171957
1992-02-01,8.14389986952566
1992-03-01,8.19492035151846
1992-04-01,8.2500997738743
1992-05-01,8.26414097454696
1992-06-01,8.35992229536054
1992-07-01,8.46943707331379
1992-08-01,8.58649056107771
1992-09-01,8.69885789512499
1992-10-01,8.88080681539299
1992-11-01,8.98692034053811
1992-12-01,9.11693555799656
1993-01-01,9.4
1993-02-01,9.5
1993-03-01,9.7
1993-04-01,9.9
1993-05-01,10.0
1993-06-01,10.2
1993-07-01,10.3
1993-08-01,10.4
1993-09-01,10.5
1993-10-01,10.6
1993-11-01,10.7
1993-12-01,10.8
1994-01-01,10.8
1994-02-01,10.9
1994-03-01,10.9
1994-04-01,10.9
1994-05-01,10.9
1994-06-01,10.9
1994-07-01,10.9
1994-08-01,10.8
1994-09-01,10.8
1994-10-01,10.9
1994-11-01,10.8
1994-12-01,10.8
1995-01-01,10.7
1995-02-01,10.7
1995-03-01,10.6
1995-04-01,10.6
1995-05-01,10.6
1995-06-01,10.6
1995-07-01,10.6
1995-08-01,10.6
1995-09-01,10.7
1995-10-01,10.7
1995-11-01,10.7
1995-12-01,10.7
1996-01-01,10.7
1996-02-01,10.8
1996-03-01,10.8
1996-04-01,10.8
1996-05-01,10.8
1996-06-01,10.8
1996-07-01,10.8
1996-08-01,10.8
1996-09-01,10.8
1996-10-01,10.8
1996-11-01,10.8
1996-12-01,10.8
1997-01-01,10.8
1997-02-01,10.9
1997-03-01,10.8
1997-04-01,10.9
1997-05-01,10.8
1997-06-01,10.8
1997-07-01,10.7
1997-08-01,10.7
1997-09-01,10.7
1997-10-01,10.7
1997-11-01,10.6
1997-12-01,10.6
1998-01-01,10.5
1998-02-01,10.5
1998-03-01,10.5
1998-04-01,10.6
1998-05-01,10.6
1998-06-01,10.5
1998-07-01,10.5
1998-08-01,10.4
1998-09-01,10.4
1998-10-01,10.3
1998-11-01,10.3
1998-12-01,10.2
1999-01-01,10.1
1999-02-01,10.0
1999-03-01,9.9
1999-04-01,9.9
1999-05-01,9.9
1999-06-01,9.8
1999-07-01,9.8
1999-08-01,9.7
1999-09-01,9.7
1999-10-01,9.6
1999-11-01,9.6
1999-12-01,9.5
2000-01-01,9.4
2000-02-01,9.3
2000-03-01,9.2
2000-04-01,9.1
2000-05-01,9.0
2000-06-01,9.0
2000-07-01,9.0
2000-08-01,8.9
2000-09-01,8.8
2000-10-01,8.7
2000-11-01,8.7
2000-12-01,8.6
2001-01-01,8.5
2001-02-01,8.4
2001-03-01,8.4
2001-04-01,8.4
2001-05-01,8.4
2001-06-01,8.4
2001-07-01,8.4
2001-08-01,8.4
2001-09-01,8.4
2001-10-01,8.4
2001-11-01,8.5
2001-12-01,8.5
2002-01-01,8.5
2002-02-01,8.5
2002-03-01,8.5
2002-04-01,8.6
2002-05-01,8.6
2002-06-01,8.6
2002-07-01,8.7
2002-08-01,8.7
2002-09-01,8.8
2002-10-01,8.8
2002-11-01,8.9
2002-12-01,8.9
2003-01-01,9.1
2003-02-01,9.1
2003-03-01,9.2
2003-04-01,9.2
2003-05-01,9.2
2003-06-01,9.2
2003-07-01,9.2
2003-08-01,9.2
2003-09-01,9.2
2003-10-01,9.2
2003-11-01,9.2
2003-12-01,9.3
2004-01-01,9.4
2004-02-01,9.4
2004-03-01,9.5
2004-04-01,9.4
2004-05-01,9.4
2004-06-01,9.4
2004-07-01,9.4
2004-08-01,9.4
2004-09-01,9.4
2004-10-01,9.4
2004-11-01,9.4
2004-12-01,9.4
2005-01-01,9.3
2005-02-01,9.3
2005-03-01,9.3
2005-04-01,9.4
2005-05-01,9.3
2005-06-01,9.3
2005-07-01,9.2
2005-08-01,9.2
2005-09-01,9.2
2005-10-01,9.2
2005-11-01,9.1
2005-12-01,9.1
2006-01-01,9.0
2006-02-01,8.9
2006-03-01,8.8
2006-04-01,8.7
2006-05-01,8.6
2006-06-01,8.5
2006-07-01,8.4
2006-08-01,8.4
2006-09-01,8.3
2006-10-01,8.2
2006-11-01,8.2
2006-12-01,8.0
2007-01-01,8.0
2007-02-01,7.9
2007-03-01,7.8
2007-04-01,7.7
2007-05-01,7.7
2007-06-01,7.6
2007-07-01,7.6
2007-08-01,7.6
2007-09-01,7.5
2007-10-01,7.5
2007-11-01,7.4
2007-12-01,7.4
2008-01-01,7.4
2008-02-01,7.4
2008-03-01,7.4
2008-04-01,7.5
2008-05-01,7.5
2008-06-01,7.6
2008-07-01,7.6
2008-08-01,7.7
2008-09-01,7.8
2008-10-01,7.9
2008-11-01,8.1
2008-12-01,8.4
2009-01-01,8.8
2009-02-01,9.1
2009-03-01,9.3
2009-04-01,9.5
2009-05-01,9.6
2009-06-01,9.7
