Date,EXSA.DE,EXV1.DE,EXV2.DE,EXV3.DE,EXV4.DE,EXV5.DE,EXV6.DE,EXV7.DE,EXV8.DE
2008-01-02,24.58220100402832,24.841276168823242,20.86481285095215,25.547285079956055,30.434682846069336,22.436935424804688,42.85233688354492,39.24594497680664,29.247722625732422
2008-01-03,24.507850646972656,24.723926544189453,20.6969051361084,25.478469848632812,30.24933624267578,21.878402709960938,43.47482681274414,39.497093200683594,28.819072723388672
2008-01-04,24.03472328186035,24.23696517944336,20.612957000732422,24.58388328552246,29.940448760986328,20.64706802368164,42.20494079589844,39.44381332397461,28.04597282409668
2008-01-07,23.987407684326172,24.107887268066406,21.05510711669922,23.76671028137207,30.50419807434082,20.520122528076172,40.73587417602539,39.67974853515625,27.311140060424805
2008-01-08,24.129348754882812,24.03160858154297,21.396503448486328,24.050569534301758,31.56218910217285,20.570898056030273,41.470420837402344,39.976524353027344,27.5943603515625
2008-01-09,23.818445205688477,23.71479034423828,21.262178421020508,23.285018920898438,32.149105072021484,20.113910675048828,40.23163604736328,40.121124267578125,27.020278930664062
2008-01-10,23.58863067626953,23.485971450805664,21.239791870117188,23.345233917236328,32.08732604980469,20.253541946411133,39.6900749206543,38.8502197265625,26.84421730041504
2008-01-11,23.473731994628906,23.6678524017334,20.94876480102539,23.328020095825195,31.7243595123291,20.513769149780273,40.200523376464844,38.72083282470703,27.05089569091797
2008-01-14,23.548086166381836,23.72652244567871,20.69131088256836,23.809730529785156,31.469511032104492,20.843820571899414,40.75453567504883,39.025245666503906,27.640281677246094
2008-01-15,22.95330047607422,22.9168643951416,20.489831924438477,23.422643661499023,30.712709426879883,20.069486618041992,39.51579666137695,38.36316680908203,26.737060546875
2008-01-16,22.737014770507812,22.617645263671875,20.450645446777344,23.250606536865234,30.836271286010742,20.075822830200195,37.86618423461914,37.24445724487305,26.645200729370117
2008-01-17,22.628870010375977,22.506174087524414,20.489831924438477,23.31082534790039,30.558242797851562,19.631528854370117,36.88886642456055,36.589969635009766,26.316062927246094
2008-01-18,22.385549545288086,21.94292449951172,20.389089584350586,22.9753475189209,30.535083770751953,19.269744873046875,37.49890899658203,36.11052703857422,26.316062927246094
2008-01-21,21.121631622314453,20.45855140686035,19.426435470581055,21.530254364013672,29.3226318359375,18.660425186157227,34.461143493652344,33.58393096923828,24.96886444091797
2008-01-22,21.581235885620117,21.42662811279297,19.42084503173828,21.882923126220703,29.38442039489746,18.812755584716797,35.818172454833984,34.13948440551758,25.971616744995117
2008-01-23,20.93238067626953,20.951385498046875,18.570127487182617,21.211990356445312,28.751157760620117,18.133623123168945,35.2267951965332,32.76203918457031,25.428144454956055
2008-01-24,22.020565032958984,22.206945419311523,19.224956512451172,23.04416275024414,29.129575729370117,19.168193817138672,37.729217529296875,34.66458511352539,26.85188102722168
2008-01-25,22.034080505371094,21.94879722595215,19.39286231994629,23.46565055847168,28.774349212646484,19.31417465209961,38.33305358886719,34.55803298950195,26.49211311340332
2008-01-28,21.79751968383789,21.69063949584961,19.185775756835938,22.940942764282227,28.542654037475586,19.56805992126465,37.36195373535156,34.07099151611328,26.040508270263672
2008-01-29,22.176029205322266,22.165878295898438,19.404052734375,23.16459083557129,28.697113037109375,19.79020118713379,38.924407958984375,35.09077072143555,26.599275588989258
2008-01-30,22.034080505371094,22.07200813293457,19.42084503173828,23.224803924560547,28.41909408569336,19.37129783630371,39.19208526611328,34.73308563232422,26.384952545166016
2008-01-31,22.034080505371094,21.755184173583984,19.471210479736328,23.577476501464844,28.57355308532715,19.21262550354004,39.901729583740234,35.49409484863281,26.19359016418457
2008-02-01,22.45313835144043,22.142410278320312,19.68948745727539,24.01616859436035,28.67394256591797,19.606142044067383,42.64068603515625,35.760467529296875,27.288190841674805
2008-02-04,22.50720977783203,22.18934440612793,19.588748931884766,24.145198822021484,28.550369262695312,19.834640502929688,42.85233688354492,35.98876953125,27.556087493896484
2008-02-05,21.804288864135742,21.321014404296875,19.185775756835938,23.121583938598633,28.087024688720703,18.768329620361328,41.60113525390625,34.70262908935547,26.19359016418457
2008-02-06,21.919185638427734,21.26821517944336,19.331296920776367,23.31941795349121,28.280088424682617,18.73024559020996,41.50775146484375,35.34189987182617,26.208898544311523
2008-02-07,21.50012969970703,20.910324096679688,19.096221923828125,22.70870018005371,27.7086181640625,18.241518020629883,40.60512924194336,34.61893081665039,25.50468635559082
2008-02-08,21.594757080078125,20.810577392578125,19.14099884033203,23.173194885253906,27.662281036376953,18.241518020629883,41.557552337646484,34.77874755859375,25.604198455810547
2008-02-11,21.391992568969727,20.376407623291016,19.001081466674805,23.259214401245117,27.639116287231445,18.063800811767578,41.103145599365234,34.90049362182617,25.33629035949707
2008-02-12,22.10167121887207,21.1626033782959,19.41524314880371,24.06777572631836,28.141082763671875,18.946044921875,43.020416259765625,36.11814880371094,26.20124626159668
2008-02-13,22.121952056884766,21.28581428527832,19.14099884033203,23.95595359802246,28.403650283813477,19.263395309448242,42.63445281982422,36.07247543334961,26.277790069580078
2008-02-14,22.14898681640625,21.098066329956055,19.135400772094727,23.861339569091797,28.31097984313965,19.06664276123047,43.344112396240234,36.41495132446289,26.576318740844727
2008-02-15,21.716419219970703,20.476150512695312,18.771610260009766,23.259214401245117,28.071590423583984,18.927001953125,42.49751663208008,35.722412109375,26.300756454467773
2008-02-18,22.135467529296875,20.986597061157227,18.956308364868164,23.775314331054688,28.349599838256836,19.42842674255371,43.64913558959961,35.93549728393555,26.798295974731445
2008-02-19,22.176029205322266,20.9689884185791,18.687660217285156,23.654891967773438,28.403650283813477,19.618833541870117,43.91056823730469,36.4986457824707,27.020278930664062
2008-02-20,21.92593765258789,20.78123664855957,18.267908096313477,23.448448181152344,28.087024688720703,19.409381866455078,43.92302322387695,35.99637985229492,26.706438064575195
2008-02-21,22.0678768157959,20.910324096679688,18.39663314819336,23.508657455444336,28.256933212280273,19.54901695251465,45.14933776855469,36.00398635864258,27.035581588745117
2008-02-22,21.89890480041504,20.746034622192383,18.24551773071289,23.21619987487793,28.171977996826172,19.053943634033203,44.64510726928711,35.79090118408203,26.790645599365234
2008-02-25,22.263891220092773,21.279953002929688,18.53095817565918,23.439842224121094,28.658489227294922,19.269744873046875,44.92523956298828,36.20185470581055,27.219287872314453
2008-02-26,22.581554412841797,21.884252548217773,18.74363136291504,23.809730529785156,28.851552963256836,19.79020118713379,45.44812774658203,36.81067657470703,27.716827392578125
2008-02-27,22.547760009765625,21.761049270629883,18.480581283569336,23.878541946411133,28.78205680847168,19.96792984008789,45.715782165527344,36.673675537109375,27.525461196899414
2008-02-28,22.135467529296875,21.29754638671875,18.17276382446289,23.37103271484375,28.372766494750977,19.580751419067383,44.862979888916016,35.775665283203125,26.974342346191406
2008-02-29,21.844831466674805,20.90445899963379,18.150375366210938,22.71729278564453,27.9171199798584,19.269744873046875,44.30897521972656,35.36473083496094,26.60692024230957
2008-03-03,21.54068374633789,20.558290481567383,17.864938735961914,22.201194763183594,27.739513397216797,19.352256774902344,44.19691467285156,34.99943542480469,26.140010833740234
2008-03-04,21.256813049316406,20.182798385620117,17.523534774780273,21.36681365966797,27.37653160095215,18.679466247558594,44.321414947509766,34.207969665527344,25.772586822509766
2008-03-05,21.65558433532715,20.64630126953125,17.758588790893555,21.934534072875977,27.37653160095215,19.079336166381836,45.3360595703125,35.01465606689453,26.42323112487793
2008-03-06,21.37171173095703,20.09479331970215,17.428386688232422,21.40982437133789,27.075363159179688,18.812755584716797,45.44812774658203,35.02227020263672,25.963958740234375
2008-03-07,21.141904830932617,19.977449417114258,17.238101959228516,21.143171310424805,27.036754608154297,18.609649658203125,44.04129409790039,34.352569580078125,25.82617950439453
2008-03-10,20.88507080078125,19.73103904724121,17.064594268798828,20.876516342163086,26.666067123413086,18.37480926513672,41.94349670410156,33.65243148803711,25.37456703186035
2008-03-11,21.135149002075195,20.358810424804688,17.21571159362793,20.45503044128418,26.642913818359375,18.349414825439453,41.837669372558594,34.29167938232422,25.85679054260254
2008-03-12,21.391992568969727,20.85751724243164,17.17093849182129,20.7560977935791,26.781904220581055,18.628686904907227,43.269412994384766,34.74829864501953,26.109386444091797
2008-03-13,21.108112335205078,20.294273376464844,16.975038528442383,20.584054946899414,26.426671981811523,18.20978546142578,42.91458511352539,34.52000045776367,25.634815216064453
2008-03-14,20.898588180541992,19.895313262939453,16.773561477661133,20.214181900024414,26.025108337402344,18.101882934570312,43.45615768432617,34.55043411254883,25.428144454956055
2008-03-17,19.769853591918945,18.704296112060547,16.342609405517578,19.32819175720215,25.52312469482422,17.619508743286133,39.963966369628906,33.842681884765625,24.494304656982422
2008-03-18,20.472782135009766,19.830772399902344,16.773561477661133,20.05074119567871,26.179546356201172,18.470014572143555,41.32722473144531,34.81679153442383,25.37456703186035
2008-03-19,20.27000617980957,19.824913024902344,16.23627471923828,19.293792724609375,26.1563777923584,18.73024559020996,39.9203987121582,34.66458511352539,25.11431121826172
2008-03-20,20.229455947875977,19.98918342590332,16.169109344482422,19.05294418334961,26.65062141418457,18.882577896118164,38.17742156982422,33.96445846557617,25.053075790405273
2008-03-25,20.891828536987305,20.91619300842285,16.639240264892578,20.265790939331055,26.98270034790039,19.63787841796875,39.914180755615234,35.09836196899414,25.940990447998047
2008-03-26,20.763402938842773,20.616968154907227,16.583274841308594,20.179771423339844,26.426671981811523,19.580751419067383,40.212974548339844,34.90810775756836,25.910367965698242
2008-03-27,21.01348876953125,20.90445899963379,16.829532623291016,20.08515167236328,26.774181365966797,19.656919479370117,40.78566360473633,35.418006896972656,26.23185920715332
2008-03-28,20.90534782409668,20.79297637939453,16.734384536743164,20.188377380371094,26.751026153564453,19.64422607421875,40.71096420288086,35.250587463378906,26.086421966552734
2008-03-31,20.858034133911133,20.65803337097168,16.392980575561523,20.231382369995117,26.735572814941406,19.656919479370117,40.89771270751953,35.53215789794922,26.247175216674805
2008-04-01,21.547441482543945,21.78451156616211,16.913480758666992,21.298002243041992,27.484670639038086,20.025049209594727,41.15916442871094,36.087711334228516,27.05854606628418
2008-04-02,21.79076385498047,22.32429313659668,17.17653465270996,21.444236755371094,27.770397186279297,19.853670120239258,41.85011291503906,36.232303619384766,27.31879234313965
2008-04-03,21.675859451293945,21.91946029663086,17.19891929626465,21.37541389465332,27.585058212280273,19.669612884521484,42.47884750366211,36.78023910522461,27.11978530883789
2008-04-04,21.763723373413086,21.91946029663086,17.266082763671875,21.46143913269043,27.770397186279297,19.53632926940918,43.38145446777344,36.93242645263672,27.196319580078125
2008-04-07,21.95973777770996,22.206945419311523,17.489952087402344,21.848522186279297,27.631393432617188,19.66326904296875,44.713592529296875,37.038978576660156,27.410648345947266
2008-04-08,21.743452072143555,22.007471084594727,17.25489044189453,21.435630798339844,27.137149810791016,19.485549926757812,44.72603225708008,37.038978576660156,26.913118362426758
2008-04-09,21.594757080078125,21.714107513427734,17.310855865478516,21.194780349731445,26.727848052978516,19.422077178955078,45.242698669433594,37.038978576660156,26.744718551635742
2008-04-10,21.52716827392578,21.508766174316406,17.277273178100586,21.082962036132812,26.751026153564453,19.307830810546875,44.76961135864258,37.023773193359375,26.507423400878906
2008-04-11,21.22301483154297,21.227148056030273,16.835124969482422,20.764692306518555,26.20270347595215,19.14280128479004,44.24671936035156,36.69652557373047,26.23185920715332
2008-04-14,21.054040908813477,20.9689884185791,16.67841148376465,20.541046142578125,25.87836456298828,18.812755584716797,43.5370979309082,36.726959228515625,25.956302642822266
2008-04-15,21.141904830932617,20.763639450073242,16.392980575561523,20.394817352294922,25.824312210083008,18.749284744262695,43.991477966308594,36.98570251464844,26.01754379272461
2008-04-16,21.52040672302246,21.221277236938477,16.61684799194336,21.10016441345215,26.001924514770508,19.041248321533203,45.85274124145508,37.678245544433594,26.714092254638672
2008-04-17,21.405506134033203,21.2506160736084,16.3649959564209,19.775489807128906,25.608074188232422,19.149150848388672,45.5352897644043,37.43471145629883,26.668170928955078
2008-04-18,21.92593765258789,22.013338088989258,16.818334579467773,20.15396499633789,26.241323471069336,19.510936737060547,45.89009475708008,38.28706359863281,27.1274356842041
2008-04-21,21.682626724243164,21.596773147583008,16.5552921295166,19.99053192138672,26.31083106994629,19.244354248046875,45.94612503051758,38.439247131347656,26.729400634765625
2008-04-22,21.581235885620117,21.397287368774414,16.49372673034668,19.913118362426758,26.23361587524414,19.20627212524414,46.581058502197266,37.914146423339844,26.400264739990234
2008-04-23,21.723175048828125,21.28581428527832,16.516115188598633,20.36040687561035,26.57339859008789,19.263395309448242,47.51481628417969,38.104408264160156,26.897804260253906
2008-04-24,21.75697135925293,21.42662811279297,16.61125373840332,20.308801651000977,26.874588012695312,19.263395309448242,46.469024658203125,38.150081634521484,26.890151977539062
2008-04-25,22.047609329223633,21.790380477905273,16.902294158935547,21.022747039794922,27.237548828125,19.72673225402832,46.89231872558594,38.33271026611328,27.34941291809082
2008-04-28,22.182783126831055,22.013338088989258,16.902294158935547,21.20339012145996,27.20664405822754,19.853670120239258,47.32804870605469,38.69800567626953,27.617321014404297
2008-04-29,21.986764907836914,21.83145523071289,16.739986419677734,21.35820960998535,26.920915603637695,19.63787841796875,45.77804183959961,38.30988693237305,27.1274356842041
2008-04-30,22.16250991821289,21.931196212768555,16.98064422607422,21.67647933959961,27.21437644958496,19.542673110961914,45.73448181152344,38.827369689941406,27.066198348999023
2008-05-02,22.60183334350586,22.635244369506836,17.378013610839844,21.65927505493164,27.507827758789062,19.986967086791992,47.60194778442383,38.79694747924805,27.433626174926758
2008-05-05,22.534244537353516,22.5472354888916,17.2940673828125,21.427034378051758,27.36882781982422,19.99966049194336,47.42765808105469,38.941532135009766,27.502500534057617
2008-05-06,22.432865142822266,22.289087295532227,17.058998107910156,21.32381248474121,27.09853744506836,19.89176368713379,48.653953552246094,38.804561614990234,27.15039825439453
2008-05-07,22.622112274169922,22.40056610107422,17.221311569213867,21.943138122558594,27.16803741455078,20.329708099365234,48.591712951660156,38.97958755493164,27.66325569152832
2008-05-08,22.615345001220703,22.142410278320312,17.243694305419922,21.788305282592773,27.21437644958496,20.41856575012207,49.51921081542969,39.2763786315918,27.670902252197266
2008-05-09,22.344995498657227,21.77864646911621,17.165334701538086,21.633472442626953,26.81280517578125,20.1900691986084,48.36140441894531,38.69800567626953,27.380033493041992
2008-05-12,22.426109313964844,21.77864646911621,17.316457748413086,21.573259353637695,26.735572814941406,20.240848541259766,48.68507766723633,38.8502197265625,27.471893310546875
