DATE,IR3TIB01DEM156N
1960-01-01,4.36
1960-02-01,4.47
1960-03-01,4.71
1960-04-01,4.59
1960-05-01,4.64
1960-06-01,5.25
1960-07-01,5.58
1960-08-01,5.44
1960-09-01,5.61
1960-10-01,6.1
1960-11-01,5.38
1960-12-01,5.06
1961-01-01,4.66
1961-02-01,4.13
1961-03-01,3.73
1961-04-01,3.34
1961-05-01,3.23
1961-06-01,3.13
1961-07-01,3.16
1961-08-01,3.09
1961-09-01,3.06
1961-10-01,4.05
1961-11-01,3.71
1961-12-01,3.83
1962-01-01,2.93
1962-02-01,2.94
1962-03-01,3.02
1962-04-01,3.08
1962-05-01,3.08
1962-06-01,3.13
1962-07-01,3.29
1962-08-01,3.26
1962-09-01,3.2
1962-10-01,4.45
1962-11-01,4.33
1962-12-01,4.35
1963-01-01,3.29
1963-02-01,3.31
1963-03-01,3.53
1963-04-01,3.56
1963-05-01,3.6
1963-06-01,3.83
1963-07-01,3.98
1963-08-01,3.81
1963-09-01,3.75
1963-10-01,5.13
1963-11-01,5.0
1963-12-01,4.98
1964-01-01,3.33
1964-02-01,3.33
1964-03-01,3.46
1964-04-01,3.55
1964-05-01,3.69
1964-06-01,3.75
1964-07-01,3.69
1964-08-01,3.91
1964-09-01,4.08
1964-10-01,5.42
1964-11-01,5.5
1964-12-01,5.36
1965-01-01,3.88
1965-02-01,3.95
1965-03-01,4.28
1965-04-01,4.52
1965-05-01,4.69
1965-06-01,4.8
1965-07-01,5.08
1965-08-01,5.27
1965-09-01,5.36
1965-10-01,6.66
1965-11-01,6.58
1965-12-01,6.55
1966-01-01,5.23
1966-02-01,5.36
1966-03-01,5.69
1966-04-01,6.21
1966-05-01,6.35
1966-06-01,6.81
1966-07-01,6.89
1966-08-01,7.0
1966-09-01,6.8
1966-10-01,7.88
1966-11-01,7.73
1966-12-01,7.57
1967-01-01,5.69
1967-02-01,5.56
1967-03-01,5.04
1967-04-01,4.48
1967-05-01,3.69
1967-06-01,3.98
1967-07-01,3.51
1967-08-01,3.56
1967-09-01,3.43
1967-10-01,4.2
1967-11-01,4.0
1967-12-01,4.07
1968-01-01,3.32
1968-02-01,3.45
1968-03-01,3.52
1968-04-01,3.64
1968-05-01,3.68
1968-06-01,3.72
1968-07-01,3.59
1968-08-01,3.55
1968-09-01,3.54
1968-10-01,4.75
1968-11-01,4.5
1968-12-01,4.44
1969-01-01,3.87
1969-02-01,3.91
1969-03-01,4.21
