Date,CHIE,CHII,CHIQ,CNYA,FXI,GXC,KWEB,MCHI
2004-10-08,,,,,11.234126091003418,,,
2004-10-11,,,,,11.374399185180664,,,
2004-10-12,,,,,11.242505073547363,,,
2004-10-13,,,,,10.953591346740723,,,
2004-10-14,,,,,10.80704116821289,,,
2004-10-15,,,,,10.970338821411133,,,
2004-10-18,,,,,10.834259033203125,,,
2004-10-19,,,,,10.899155616760254,,,
2004-10-20,,,,,10.760981559753418,,,
2004-10-21,,,,,10.821695327758789,,,
2004-10-22,,,,,10.698172569274902,,,
2004-10-25,,,,,10.624900817871094,,,
2004-10-26,,,,,10.760981559753418,,,
2004-10-27,,,,,10.75051498413086,,,
2004-10-28,,,,,10.593493461608887,,,
2004-10-29,,,,,10.779824256896973,,,
2004-11-01,,,,,10.760981559753418,,,
2004-11-02,,,,,10.936840057373047,,,
2004-11-03,,,,,11.110608100891113,,,
2004-11-04,,,,,11.1231689453125,,,
2004-11-05,,,,,11.160853385925293,,,
2004-11-08,,,,,11.095953941345215,,,
2004-11-09,,,,,11.171319961547852,,,
2004-11-10,,,,,11.399521827697754,,,
2004-11-11,,,,,11.405800819396973,,,
2004-11-12,,,,,11.53141975402832,,,
2004-11-15,,,,,11.654935836791992,,,
2004-11-16,,,,,11.420458793640137,,,
2004-11-17,,,,,11.581661224365234,,,
2004-11-18,,,,,11.541884422302246,,,
2004-11-19,,,,,11.391148567199707,,,
2004-11-22,,,,,11.487455368041992,,,
2004-11-23,,,,,11.629815101623535,,,
2004-11-24,,,,,11.757523536682129,,,
2004-11-26,,,,,11.698906898498535,,,
2004-11-29,,,,,11.692622184753418,,,
2004-11-30,,,,,11.682156562805176,,,
2004-12-01,,,,,11.820329666137695,,,
2004-12-02,,,,,11.828707695007324,,,
2004-12-03,,,,,11.807769775390625,,,
2004-12-06,,,,,11.80567741394043,,,
2004-12-07,,,,,11.648655891418457,,,
2004-12-08,,,,,11.512572288513184,,,
2004-12-09,,,,,11.500012397766113,,,
2004-12-10,,,,,11.311592102050781,,,
2004-12-13,,,,,11.31368350982666,,,
2004-12-14,,,,,11.384870529174805,,,
2004-12-15,,,,,11.583757400512695,,,
2004-12-16,,,,,11.502108573913574,,,
2004-12-17,,,,,11.474891662597656,,,
2004-12-20,,,,,11.675874710083008,,,
2004-12-21,,,,,11.682156562805176,,,
2004-12-22,,,,,11.608882904052734,,,
2004-12-23,,,,,11.673778533935547,,,
2004-12-27,,,,,11.613065719604492,,,
2004-12-28,,,,,11.652850151062012,,,
2004-12-29,,,,,11.629815101623535,,,
2004-12-30,,,,,11.510483741760254,,,
2004-12-31,,,,,11.613065719604492,,,
2005-01-03,,,,,11.546072959899902,,,
2005-01-04,,,,,11.227849006652832,,,
2005-01-05,,,,,10.972433090209961,,,
2005-01-06,,,,,10.984992980957031,,,
2005-01-07,,,,,10.886595726013184,,,
2005-01-10,,,,,10.974525451660156,,,
2005-01-11,,,,,10.886595726013184,,,
2005-01-12,,,,,11.022676467895508,,,
2005-01-13,,,,,10.959872245788574,,,
2005-01-14,,,,,10.928464889526367,,,
2005-01-18,,,,,11.156668663024902,,,
2005-01-19,,,,,11.116888999938965,,,
2005-01-20,,,,,11.07711124420166,,,
2005-01-21,,,,,10.9766206741333,,,
2005-01-24,,,,,10.913811683654785,,,
2005-01-25,,,,,11.051992416381836,,,
2005-01-26,,,,,11.206910133361816,,,
2005-01-27,,,,,11.206910133361816,,,
2005-01-28,,,,,11.158759117126465,,,
2005-01-31,,,,,11.342992782592773,,,
2005-02-01,,,,,11.240413665771484,,,
2005-02-02,,,,,11.248781204223633,,,
2005-02-03,,,,,11.209009170532227,,,
2005-02-04,,,,,11.37858772277832,,,
2005-02-07,,,,,11.569103240966797,,,
2005-02-08,,,,,11.650751113891602,,,
2005-02-09,,,,,11.56072998046875,,,
2005-02-10,,,,,11.659127235412598,,,
2005-02-11,,,,,11.744961738586426,,,
2005-02-14,,,,,11.770087242126465,,,
2005-02-15,,,,,11.709371566772461,,,
2005-02-16,,,,,11.686339378356934,,,
2005-02-17,,,,,11.577476501464844,,,
2005-02-18,,,,,11.728214263916016,,,
2005-02-22,,,,,11.717742919921875,,,
2005-02-23,,,,,11.747056007385254,,,
2005-02-24,,,,,11.828707695007324,,,
2005-02-25,,,,,12.079933166503906,,,
2005-02-28,,,,,12.100869178771973,,,
2005-03-01,,,,,12.048530578613281,,,
2005-03-02,,,,,11.818238258361816,,,
2005-03-03,,,,,11.897796630859375,,,
2005-03-04,,,,,11.81404972076416,,,
2005-03-07,,,,,11.862199783325195,,,
2005-03-08,,,,,11.933382034301758,,,
2005-03-09,,,,,11.8810453414917,,,
2005-03-10,,,,,11.816143035888672,,,
2005-03-11,,,,,11.862199783325195,,,
2005-03-14,,,,,11.862199783325195,,,
2005-03-15,,,,,11.66121768951416,,,
2005-03-16,,,,,11.66121768951416,,,
2005-03-17,,,,,11.870572090148926,,,
2005-03-18,,,,,11.824515342712402,,,
2005-03-21,,,,,11.826610565185547,,,
2005-03-22,,,,,11.556539535522461,,,
2005-03-23,,,,,11.4497652053833,,,
2005-03-24,,,,,11.49582576751709,,,
2005-03-28,,,,,11.483266830444336,,,
2005-03-29,,,,,11.305313110351562,,,
2005-03-30,,,,,11.409989356994629,,,
2005-03-31,,,,,11.430926322937012,,,
2005-04-01,,,,,11.474891662597656,,,
2005-04-04,,,,,11.527230262756348,,,
2005-04-05,,,,,11.497922897338867,,,
2005-04-06,,,,,11.569103240966797,,,
2005-04-07,,,,,11.62353515625,,,
2005-04-08,,,,,11.648655891418457,,,
2005-04-11,,,,,11.640281677246094,,,
2005-04-12,,,,,11.629815101623535,,,
2005-04-13,,,,,11.608882904052734,,,
2005-04-14,,,,,11.489544868469238,,,
2005-04-15,,,,,11.152477264404297,,,
2005-04-18,,,,,11.127358436584473,,,
2005-04-19,,,,,11.261345863342285,,,
2005-04-20,,,,,11.041522026062012,,,
2005-04-21,,,,,11.4079008102417,,,
2005-04-22,,,,,11.36811637878418,,,
2005-04-25,,,,,11.47698974609375,,,
2005-04-26,,,,,11.523042678833008,,,
2005-04-27,,,,,11.37858772277832,,,
2005-04-28,,,,,11.342992782592773,,,
2005-04-29,,,,,11.581661224365234,,,
2005-05-02,,,,,11.59841251373291,,,
2005-05-03,,,,,11.472796440124512,,,
2005-05-04,,,,,11.634003639221191,,,
2005-05-05,,,,,11.650751113891602,,,
2005-05-06,,,,,11.682156562805176,,,
2005-05-09,,,,,11.724028587341309,,,
2005-05-10,,,,,11.581661224365234,,,
2005-05-11,,,,,11.621443748474121,,,
2005-05-12,,,,,11.389055252075195,,,
2005-05-13,,,,,11.401618957519531,,,
2005-05-16,,,,,11.464422225952148,,,
2005-05-17,,,,,11.290657997131348,,,
