Date,CISS
2006-10-10,0.0105560929535905
2006-10-11,0.0102210717118991
2006-10-12,0.0132105001235694
2006-10-13,0.015883825551667
2006-10-16,0.0180253419411716
2006-10-17,0.0138052420579106
2006-10-18,0.0136385715924024
2006-10-19,0.0172083101924593
2006-10-20,0.0154965015843148
2006-10-23,0.0229167062601865
2006-10-24,0.02281445076508
2006-10-25,0.0198111826875084
2006-10-26,0.0181800378699274
2006-10-27,0.0266607295464391
2006-10-30,0.0216114920923607
2006-10-31,0.0216574754375807
2006-11-01,0.017998424230498
2006-11-02,0.0143054764399921
2006-11-03,0.0167049304900016
2006-11-06,0.0177268805618878
2006-11-07,0.0220298545510546
2006-11-08,0.017478136502598
2006-11-09,0.0212712008225122
2006-11-10,0.0195584930889552
2006-11-13,0.0255807342394276
2006-11-14,0.0224346052973731
2006-11-15,0.0216273635991538
2006-11-16,0.0170831870081719
2006-11-17,0.0143785423571299
2006-11-20,0.0121232402904056
2006-11-21,0.0112913757463565
2006-11-22,0.0185129901623824
2006-11-23,0.0132597864996383
2006-11-24,0.020048747218566
2006-11-27,0.0195761090169189
2006-11-28,0.0344101206918982
2006-11-29,0.031665443863465
2006-11-30,0.0294468213816345
2006-12-01,0.0274776153198117
2006-12-04,0.0247510024038404
2006-12-05,0.0223859986796729
2006-12-06,0.0193004227241113
2006-12-07,0.0152443525367073
2006-12-08,0.0144572693015467
2006-12-11,0.0152663399312483
2006-12-12,0.0118004648124408
2006-12-13,0.0143667193793299
2006-12-14,0.017086256590102
2006-12-15,0.0174330564985818
2006-12-18,0.0174080525857232
2006-12-19,0.0146898073735147
2006-12-20,0.0183957482983071
2006-12-21,0.0175070570290039
2006-12-22,0.0136009665570535
2006-12-25,0.010916246658758
2006-12-26,0.0085944761802708
2006-12-27,0.0142324807287167
2006-12-28,0.0119970898245395
2006-12-29,0.0110791858352155
2007-01-01,0.0064765321457427
2007-01-02,0.0047209625967004
2007-01-03,0.0035676955308339
2007-01-04,0.0029988552203775
2007-01-05,0.0031609372092213
2007-01-08,0.0041200547940978
2007-01-09,0.0061049184552689
2007-01-10,0.0070245991734618
2007-01-11,0.0092445290312275
2007-01-12,0.0078786662705596
2007-01-15,0.0079061409203002
2007-01-16,0.0071029475448189
2007-01-17,0.0071172074293666
2007-01-18,0.0066694456313764
2007-01-19,0.0060522805350126
2007-01-22,0.00616288787138
2007-01-23,0.0045008446686525
2007-01-24,0.0036623621503498
2007-01-25,0.0035809221333864
2007-01-26,0.0042843151857611
2007-01-29,0.0034818233383917
2007-01-30,0.0026123609488686
2007-01-31,0.0023082550899762
2007-02-01,0.0030001322098709
2007-02-02,0.0020396202777934
2007-02-05,0.0015441396330439
2007-02-06,0.0016492160888712
2007-02-07,0.0015851466937371
2007-02-08,0.0015265408176807
2007-02-09,0.0037958148243634
2007-02-12,0.0050352452550259
2007-02-13,0.0074770989625423
2007-02-14,0.0109354503610467
2007-02-15,0.0092597111475632
2007-02-16,0.0057995493249501
2007-02-19,0.0052194680554955
2007-02-20,0.0065981348775105
2007-02-21,0.0082572159722497
2007-02-22,0.0110200785418462
2007-02-23,0.0129157805439128
2007-02-26,0.0181063710730098
2007-02-27,0.0424490308622771
2007-02-28,0.0464782219957521
2007-03-01,0.0477800255738216
2007-03-02,0.043017732280188
2007-03-05,0.0510423480066597
2007-03-06,0.0435241302147262
2007-03-07,0.0345877815965419
2007-03-08,0.0271618633023836
2007-03-09,0.0206454721466477
2007-03-12,0.0170425622381649
2007-03-13,0.0162612612514137
2007-03-14,0.0158027381627829
2007-03-15,0.0126158809981513
2007-03-16,0.0112803654668139
2007-03-19,0.0101902450726298
2007-03-20,0.0090508565999005
2007-03-21,0.0079705905605147
2007-03-22,0.0076602315480037
2007-03-23,0.0082770963267376
2007-03-26,0.009642947433143
2007-03-27,0.0110914463047978
2007-03-28,0.014049636929765
2007-03-29,0.0137555456807713
2007-03-30,0.0133027959757961
2007-04-02,0.012385013793998
2007-04-03,0.0111822512071803
2007-04-04,0.0102621628507842
2007-04-05,0.0085030596841183
2007-04-06,0.0086311972332272
2007-04-09,0.0087330692475908
2007-04-10,0.0106473391285668
2007-04-11,0.0113317729452512
2007-04-12,0.0117209250390431
2007-04-13,0.0147627076467358
2007-04-16,0.0133599509891908
2007-04-17,0.0156818503213059
2007-04-18,0.0140496219969588
2007-04-19,0.0296346166179617
2007-04-20,0.0244714705523067
