market,drawdown_threshold,freq,horizon,target,indicator,pseudo_r2,p_value,z_score,coef,odds_ratio,n_obs,n_crisis
CAC40,0.03,D,5,Crisis_next_5D,HY_Spread,0.01834787236370128,3.149356208144615e-15,7.884841253031096,0.09858350371298262,1.1036065557919266,4401,454
CAC40,0.03,D,5,Crisis_next_5D,Yield_Curve,0.009326274753430841,2.670604252762171e-07,5.145323335157935,0.2923415231205253,1.339560430384651,4401,454
CAC40,0.03,D,5,Crisis_next_5D,Neely,0.01807663318353725,2.591983960219845e-13,7.3140552974719295,0.7298832799329562,2.074838418260931,4401,454
CAC40,0.03,D,5,Crisis_next_5D,PatroCorr,0.0013368812355404325,0.05016611422362912,1.9585448454506673,0.6513485789274917,1.918125829657581,4401,454
CAC40,0.03,D,5,Crisis_next_5D,SahmIndicator,7.001888315016913e-05,0.6480884520945529,0.4564193524105285,0.05148810445284073,1.0528366621494771,4401,454
CAC40,0.03,D,5,Crisis_next_5D,VIX,0.0239724157838066,2.209610203040001e-18,8.746045000167983,0.04627186335055699,1.0473591108125573,4401,454
CAC40,0.03,D,5,Crisis_next_5D,M2_Growth,0.0003864392608183831,0.28614483904937793,-1.0666169593656896,-0.04005768842097917,0.9607340143253857,4401,454
CAC40,0.03,D,5,Crisis_next_5D,BuffettDeviation,0.01600695071812186,4.85040828904523e-12,-6.909886731547803,-1.7708325150945203,0.17019124305205224,4401,454
CAC40,0.03,D,5,Crisis_next_5D,Systemic_Corr,0.006881040711062214,1.08556137955525e-05,4.399388894549049,2.261552195437604,9.597975544342034,4401,454
CAC40,0.03,D,5,Crisis_next_5D,Shiller_CAPE,0.02442309082854488,3.9179660289276264e-17,-8.415328143181386,-0.08143035767457864,0.9217969036984968,4401,454
CAC40,0.03,D,5,Crisis_next_5D,YC_10Y3M,0.009326274753430841,2.670604252762171e-07,5.145323335157935,0.2923415231205253,1.339560430384651,4401,454
CAC40,0.03,D,5,Crisis_next_5D,CFNAI,0.0025371606171864514,0.004603140156273982,-2.83356877544483,-0.10515083918870329,0.9001887286074933,4401,454
CAC40,0.03,D,5,Crisis_next_5D,CISS,0.020624639537512812,3.304103697619847e-16,8.161674952380507,2.2562929419556723,9.54762986443282,4401,454
CAC40,0.03,D,5,Crisis_next_5D,Downside_Beta,0.014621568999267476,2.0594330874150534e-10,-6.356842235734558,-1.5185662118868537,0.2190256983717124,4401,454
CAC40,0.03,D,5,Crisis_next_5D,NFCI,0.018623348221923797,1.208635969483456e-15,8.003569313765468,0.6616472363655236,1.9379820210576837,4401,454
CAC40,0.03,D,5,Crisis_next_5D,EPU,2.1134359354912924e-05,0.8030457017663624,0.249407348079038,0.00011323471573276228,1.0001132411270253,4401,454
CAC40,0.03,D,5,Crisis_next_5D,RSkew,0.000522750048414844,0.21584644663546249,1.2376484353703345,0.0865754643580389,1.0904336534885635,4401,454
CAC40,0.03,D,5,Crisis_next_5D,RSV_Ratio,0.003143703423791888,0.0024757068772819535,3.0262949339210685,1.3797893243721597,3.9740643008040326,4401,454
CAC40,0.03,D,5,Crisis_next_5D,HillTail,1.3201092951997673e-05,0.8414314653318821,0.20006280145257258,0.1133080348755774,1.119976871755608,4401,454
CAC40,0.03,D,10,Crisis_next_10D,HY_Spread,0.007468767211679772,3.545063906313059e-08,5.512135218274528,0.06595776337416165,1.0681815998266386,4396,652
CAC40,0.03,D,10,Crisis_next_10D,Yield_Curve,0.009315185618689159,7.36314175303903e-09,5.782424959188945,0.2804192442597166,1.3236846432128224,4396,652
CAC40,0.03,D,10,Crisis_next_10D,Neely,0.003232869872382027,0.0005017464384139349,3.479822310905205,0.3024586916418238,1.3531817775490904,4396,652
CAC40,0.03,D,10,Crisis_next_10D,PatroCorr,0.0004985164091306782,0.17695139201638876,1.3502013913813518,0.3797558775665882,1.4619276565313484,4396,652
CAC40,0.03,D,10,Crisis_next_10D,SahmIndicator,0.00013818433899637217,0.47220856793330457,0.7188902117097106,0.06919949016211242,1.0716499714524317,4396,652
CAC40,0.03,D,10,Crisis_next_10D,VIX,0.0033098365516966988,0.000327255468328619,3.5927110035111784,0.018250243352309133,1.0184177967884283,4396,652
CAC40,0.03,D,10,Crisis_next_10D,M2_Growth,0.0007666897662763628,0.09117601215466543,-1.6892266059752614,-0.05420625720834686,0.947236711951873,4396,652
CAC40,0.03,D,10,Crisis_next_10D,BuffettDeviation,0.004621120730466943,3.1477454997459174e-05,-4.162505505496398,-0.9307940944560262,0.39424052182469255,4396,652
CAC40,0.03,D,10,Crisis_next_10D,Systemic_Corr,0.0019558948936130305,0.0076855516817793705,2.6655805531752317,1.1393399356199394,3.1247051777567703,4396,652
CAC40,0.03,D,10,Crisis_next_10D,Shiller_CAPE,0.011085846031466784,1.624122527673904e-10,-6.393235096965685,-0.052936650176234126,0.9484400940920116,4396,652
CAC40,0.03,D,10,Crisis_next_10D,YC_10Y3M,0.009315185618689159,7.36314175303903e-09,5.782424959188945,0.2804192442597166,1.3236846432128224,4396,652
CAC40,0.03,D,10,Crisis_next_10D,CFNAI,0.0003069573414953286,0.2810652426901771,-1.0779294475788235,-0.03731856947353336,0.9633691864448299,4396,652
CAC40,0.03,D,10,Crisis_next_10D,CISS,0.004700942231888328,1.8539380278330428e-05,4.281792522530733,1.1138167715372649,3.0459619772151605,4396,652
CAC40,0.03,D,10,Crisis_next_10D,Downside_Beta,0.017615936474454585,5.241229551213854e-15,-7.820983307210527,-1.6055900763657869,0.2007710496987469,4396,652
CAC40,0.03,D,10,Crisis_next_10D,NFCI,0.006408898151775588,2.752498808942291e-07,5.139650550704942,0.4178492856670793,1.5186917685361687,4396,652
CAC40,0.03,D,10,Crisis_next_10D,EPU,0.0011128152718534734,0.048175939947616736,-1.9758131815858424,-0.0008389847432889087,0.9991613671060052,4396,652
CAC40,0.03,D,10,Crisis_next_10D,RSkew,0.00041824093527709216,0.2143920052368895,1.2415788065937097,0.0745835126564639,1.0774353192508253,4396,652
CAC40,0.03,D,10,Crisis_next_10D,RSV_Ratio,1.8640967927030516e-06,0.933776189918351,0.08309476306163194,0.03239294744815664,1.0329233101487725,4396,652
CAC40,0.03,D,10,Crisis_next_10D,HillTail,0.002554611286752717,0.0023981498239645845,-3.035904910393924,-1.529570311428606,0.21662873021015105,4396,652
CAC40,0.03,D,15,Crisis_next_15D,HY_Spread,0.00464483132278426,7.155230731265059e-06,4.489017834837034,0.0528554841688988,1.0542772743531128,4391,751
CAC40,0.03,D,15,Crisis_next_15D,Yield_Curve,0.007076549934894927,1.3394947722930343e-07,5.273358584387366,0.2396777627019715,1.2708395724242656,4391,751
CAC40,0.03,D,15,Crisis_next_15D,Neely,0.0019951826683080043,0.004396680862086217,2.848203442799983,0.23519589446929282,1.2651565816366426,4391,751
CAC40,0.03,D,15,Crisis_next_15D,PatroCorr,0.002741490027150406,0.001039272896259668,3.2796734877365417,0.8893332176826129,2.4335064911052418,4391,751
CAC40,0.03,D,15,Crisis_next_15D,SahmIndicator,0.00046110282857103613,0.1789635713883767,-1.3439530444216228,-0.12920355655696697,0.8787950628405202,4391,751
CAC40,0.03,D,15,Crisis_next_15D,VIX,0.00147320005581697,0.01319764891534637,2.4783908374522126,0.01227507828094174,1.0123507262657727,4391,751
CAC40,0.03,D,15,Crisis_next_15D,M2_Growth,0.0016823413804192278,0.008964476058841457,-2.6134059203675135,-0.0788780048942705,0.9241526596698008,4391,751
CAC40,0.03,D,15,Crisis_next_15D,BuffettDeviation,0.0025646941586860983,0.0012398871830152482,-3.229541884432459,-0.6868781126573057,0.5031443798184618,4391,751
CAC40,0.03,D,15,Crisis_next_15D,Systemic_Corr,0.00036319013360841534,0.2282984038042969,1.2047536866543638,0.4801729828878647,1.6163539795903445,4391,751
CAC40,0.03,D,15,Crisis_next_15D,Shiller_CAPE,0.007900667871634126,1.7621605597369275e-08,-5.633863949911313,-0.044085949746433706,0.956871711057633,4391,751
CAC40,0.03,D,15,Crisis_next_15D,YC_10Y3M,0.007076549934894927,1.3394947722930343e-07,5.273358584387366,0.2396777627019715,1.2708395724242656,4391,751
CAC40,0.03,D,15,Crisis_next_15D,CFNAI,0.00013945297719786254,0.4505566309341099,-0.7544873625021659,-0.025016258247436845,0.9752940553273567,4391,751
