DATE,JPNLOLITONOSTSAM
1960-01-01,100.5981
1960-02-01,100.6443
1960-03-01,100.6568
1960-04-01,100.6447
1960-05-01,100.6297
1960-06-01,100.642
1960-07-01,100.6978
1960-08-01,100.796
1960-09-01,100.9405
1960-10-01,101.1215
1960-11-01,101.3238
1960-12-01,101.525
1961-01-01,101.7187
1961-02-01,101.8882
1961-03-01,102.0137
1961-04-01,102.0966
1961-05-01,102.1138
1961-06-01,102.05
1961-07-01,101.8986
1961-08-01,101.6577
1961-09-01,101.3424
1961-10-01,100.9937
1961-11-01,100.6441
1961-12-01,100.311
1962-01-01,99.9978
1962-02-01,99.68893
1962-03-01,99.39469
1962-04-01,99.11977
1962-05-01,98.87488
1962-06-01,98.65821
1962-07-01,98.47899
1962-08-01,98.3457
1962-09-01,98.26662
1962-10-01,98.24866
1962-11-01,98.30408
1962-12-01,98.42069
1963-01-01,98.58556
1963-02-01,98.80083
1963-03-01,99.05198
1963-04-01,99.29841
1963-05-01,99.50946
1963-06-01,99.66403
1963-07-01,99.75063
1963-08-01,99.77193
1963-09-01,99.75357
1963-10-01,99.71486
1963-11-01,99.67119
1963-12-01,99.63456
1964-01-01,99.60223
1964-02-01,99.56741
1964-03-01,99.51897
1964-04-01,99.45323
1964-05-01,99.38053
1964-06-01,99.29347
1964-07-01,99.18898
1964-08-01,99.06786
1964-09-01,98.92915
1964-10-01,98.77116
1964-11-01,98.60966
1964-12-01,98.46185
1965-01-01,98.31957
1965-02-01,98.1673
1965-03-01,98.00356
1965-04-01,97.84505
1965-05-01,97.71501
1965-06-01,97.63369
1965-07-01,97.61517
1965-08-01,97.66836
1965-09-01,97.78293
1965-10-01,97.94579
1965-11-01,98.1365
1965-12-01,98.34109
1966-01-01,98.56261
1966-02-01,98.80074
1966-03-01,99.03518
1966-04-01,99.25262
1966-05-01,99.44349
1966-06-01,99.59669
1966-07-01,99.70323
1966-08-01,99.76659
1966-09-01,99.80865
1966-10-01,99.8427
1966-11-01,99.8638
1966-12-01,99.87336
1967-01-01,99.87949
1967-02-01,99.87022
1967-03-01,99.84092
1967-04-01,99.7909
1967-05-01,99.72744
1967-06-01,99.65998
1967-07-01,99.60186
1967-08-01,99.5516
1967-09-01,99.51243
1967-10-01,99.4977
1967-11-01,99.50455
1967-12-01,99.52612
1968-01-01,99.55639
1968-02-01,99.56441
1968-03-01,99.54808
1968-04-01,99.52311
1968-05-01,99.48786
1968-06-01,99.45383
1968-07-01,99.46466
1968-08-01,99.5445
1968-09-01,99.66119
1968-10-01,99.7748
1968-11-01,99.86195
1968-12-01,99.91614
1969-01-01,99.96109
1969-02-01,100.0098
1969-03-01,100.0687
1969-04-01,100.1355
1969-05-01,100.1991
1969-06-01,100.2448
1969-07-01,100.27
1969-08-01,100.2975
1969-09-01,100.3377
1969-10-01,100.3939
1969-11-01,100.4806
1969-12-01,100.5895
1970-01-01,100.693
1970-02-01,100.7423
1970-03-01,100.6948
1970-04-01,100.5454
1970-05-01,100.3064
1970-06-01,100.0188
1970-07-01,99.69341
1970-08-01,99.34636
1970-09-01,98.98898
1970-10-01,98.64555
1970-11-01,98.32692
1970-12-01,98.03974
1971-01-01,97.79987
1971-02-01,97.63759
1971-03-01,97.57085
1971-04-01,97.57305
1971-05-01,97.62959
1971-06-01,97.72002
1971-07-01,97.81805
1971-08-01,97.89272
1971-09-01,97.94749
1971-10-01,98.01502
1971-11-01,98.12761
1971-12-01,98.31135
1972-01-01,98.57977
1972-02-01,98.91777
1972-03-01,99.3159
1972-04-01,99.76147
1972-05-01,100.2349
1972-06-01,100.7114
1972-07-01,101.1944
1972-08-01,101.7173
1972-09-01,102.2899
1972-10-01,102.9018
1972-11-01,103.5043
1972-12-01,104.0367
1973-01-01,104.4453
1973-02-01,104.7044
1973-03-01,104.8351
1973-04-01,104.8195
1973-05-01,104.6914
1973-06-01,104.4857
1973-07-01,104.2432
1973-08-01,104.0052
1973-09-01,103.7389
1973-10-01,103.4131
1973-11-01,102.9859
1973-12-01,102.4497
1974-01-01,101.7992
1974-02-01,101.0628
1974-03-01,100.2831
1974-04-01,99.53471
1974-05-01,98.86118
1974-06-01,98.28334
1974-07-01,97.78115
1974-08-01,97.31422
1974-09-01,96.8556
1974-10-01,96.40927
1974-11-01,96.02594
1974-12-01,95.74844
1975-01-01,95.61057
1975-02-01,95.629
1975-03-01,95.79
1975-04-01,96.05379
1975-05-01,96.40784
1975-06-01,96.82484
1975-07-01,97.2896
1975-08-01,97.77966
1975-09-01,98.28709
1975-10-01,98.78065
1975-11-01,99.23955
1975-12-01,99.6602
1976-01-01,100.0154
1976-02-01,100.313
1976-03-01,100.5645
1976-04-01,100.7913
1976-05-01,100.9919
1976-06-01,101.1527
1976-07-01,101.2577
1976-08-01,101.3178
1976-09-01,101.3512
1976-10-01,101.3655
1976-11-01,101.3485
1976-12-01,101.2762
1977-01-01,101.1228
1977-02-01,100.8536
1977-03-01,100.4913
1977-04-01,100.0814
1977-05-01,99.68671
1977-06-01,99.35396
1977-07-01,99.15437
1977-08-01,99.11228
1977-09-01,99.17447
1977-10-01,99.29995
1977-11-01,99.46532
1977-12-01,99.65923
1978-01-01,99.87447
1978-02-01,100.0908
1978-03-01,100.2969
1978-04-01,100.4883
1978-05-01,100.6702
1978-06-01,100.8596
1978-07-01,101.0764
1978-08-01,101.3066
1978-09-01,101.5591
1978-10-01,101.8172
1978-11-01,102.0621
1978-12-01,102.3082
1979-01-01,102.5541
1979-02-01,102.8056
1979-03-01,103.0331
1979-04-01,103.1949
1979-05-01,103.2677
1979-06-01,103.2647
1979-07-01,103.1792
1979-08-01,102.9975
1979-09-01,102.7371
1979-10-01,102.4027
1979-11-01,101.998
1979-12-01,101.5355
1980-01-01,101.0461
1980-02-01,100.5487
1980-03-01,100.0715
1980-04-01,99.63574
1980-05-01,99.25688
1980-06-01,98.96255
1980-07-01,98.7519
1980-08-01,98.63032
