Date,1615.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T
2008-01-04,190.12400817871094,,,,,,,,,
2008-01-07,188.1632080078125,,,,,,,,,
2008-01-08,194.6904296875,,,,,,,,,
2008-01-09,198.02633666992188,,,,,,,,,
2008-01-10,194.4929962158203,,,,,,,,,
2008-01-11,192.59803771972656,,,,,,,,,
2008-01-15,189.979248046875,,,,,,,,,
2008-01-16,180.89910888671875,,,,,,,,,
2008-01-17,184.8601837158203,,,,,,,,,
2008-01-18,185.6562957763672,,,,,,,,,
2008-01-21,177.095947265625,,,,,,,,,
2008-01-22,165.8510284423828,,,,,,,,,
2008-01-23,171.0359344482422,,,,,,,,,
2008-01-24,178.92515563964844,,,,,,,,,
2008-01-25,192.8085479736328,,,,,,,,,
2008-01-28,184.60353088378906,,,,,,,,,
2008-01-29,190.88064575195312,,,,,,,,,
2008-01-30,190.47927856445312,,,,,,,,,
2008-01-31,192.5519561767578,,,,,,,,,
2008-02-01,187.446044921875,,,,,,,,,
2008-02-04,194.03244018554688,,,,,,,,,
2008-02-05,191.31495666503906,,,,,,,,,
2008-02-06,183.72181701660156,,,,,,,,,
2008-02-07,182.65589904785156,,,,,,,,,
2008-02-08,178.48428344726562,,,,,,,,,
2008-02-12,178.23428344726562,,,,,,,,,
2008-02-13,176.52349853515625,,,,,,,,,
2008-02-14,182.35324096679688,,,,,,,,,
2008-02-15,179.9515838623047,,,,,,,,,
2008-02-18,176.74061584472656,,,,,,,,,
2008-02-19,181.61627197265625,,,,,,,,,
2008-02-20,173.88497924804688,,,,,,,,,
2008-02-21,178.03028869628906,,,,,,,,,
2008-02-22,176.49717712402344,,,,,,,,,
2008-02-25,183.59683227539062,,,,,,,,,
2008-02-26,181.98477172851562,,,,,,,,,
2008-02-27,186.07737731933594,,,,,,,,,
2008-02-28,184.5903778076172,,,,,,,,,
2008-02-29,178.07635498046875,,,,,,,,,
2008-03-03,170.522705078125,,,,,,,,,
2008-03-04,168.1605682373047,,,,,,,,,
2008-03-05,165.16671752929688,,,,,,,,,
2008-03-06,169.20675659179688,,,,,,,,,
2008-03-07,162.55453491210938,,,,,,,,,
2008-03-10,161.94921875,,,,,,,,,
2008-03-11,163.9955291748047,,,,,,,,,
2008-03-12,171.1017303466797,,,,,,,,,
2008-03-13,162.3045196533203,,,,,,,,,
2008-03-14,158.8961639404297,,,,,,,,,
2008-03-17,152.6453399658203,,,,,,,,,
2008-03-18,155.84971618652344,,,,,,,,,
2008-03-19,162.15318298339844,13750.50390625,10569.7783203125,8236.958984375,10418.0029296875,9084.7900390625,9991.0869140625,18741.453125,16030.2265625,11081.7412109375
2008-03-21,169.048828125,14002.5927734375,10327.3193359375,8469.142578125,10639.2138671875,9196.1572265625,10243.6240234375,18723.48046875,16326.14453125,11227.1484375
2008-03-24,172.1018829345703,13700.7490234375,10483.3876953125,8553.1455078125,10666.3115234375,9153.2587890625,10375.4150390625,19224.345703125,16414.974609375,11167.9970703125
2008-03-25,172.391357421875,13759.208984375,10536.8046875,8727.93359375,10882.9248046875,9358.5234375,10609.58984375,19479.86328125,16802.458984375,11511.638671875
2008-03-26,170.5029754638672,13906.7822265625,10829.828125,8801.4833984375,10947.1826171875,9444.5400390625,10634.390625,19741.376953125,16897.21484375,11521.2490234375
