drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.211,0.6139,0.6139,0.2398,0.3201,0.0359,0.347,0.294,0.0208,0.407,0.0781,0.6978,0.507,0.5797,0.6011,0.1364,0.1624,0.3506,0.2208
0.05,0.4819,0.5785,0.5785,0.1871,0.2395,0.0827,0.5576,0.4926,0.0897,0.6337,0.031,0.4263,0.3308,0.1823,0.6282,0.3564,0.2567,0.3074,0.4188
0.08,0.3356,0.5239,0.5239,0.3316,0.2868,0.1526,0.4939,0.245,0.0301,0.5063,0.0766,0.288,0.3152,0.1119,0.2739,0.1013,0.1439,0.1083,0.3178
0.1,0.4432,0.5239,0.5239,0.569,0.3533,0.1895,0.4939,0.522,0.1837,0.423,0.1243,0.2635,0.2606,0.096,0.3691,0.1037,0.2387,0.375,0.1747
0.12,0.5652,0.5239,0.5239,0.5762,0.3064,0.1661,0.4939,0.4139,0.1385,0.6223,0.1937,0.2674,0.2606,0.0691,0.4381,0.1159,0.199,0.375,0.252
0.15,0.4411,0.5564,0.5564,0.5806,0.3561,0.1662,0.4939,0.775,0.2464,0.7803,0.2065,0.2553,0.3408,0.1102,0.447,0.1086,0.3547,0.3404,0.418
