market,drawdown,rank,indicator,median_p
Nikkei,0.15,2,Yield_Curve,0.1952
Nikkei,0.15,3,YC_10Y3M,0.1952
SP500,0.03,1,PatroCorr,0.0
SP500,0.03,2,Neely,0.0
SP500,0.03,3,Systemic_Corr,0.0
SP500,0.05,1,PatroCorr,0.0
SP500,0.05,2,Neely,0.0
SP500,0.05,3,NFCI,0.0
SP500,0.08,1,PatroCorr,0.0
SP500,0.08,2,Neely,0.0
SP500,0.08,3,NFCI,0.0
SP500,0.1,1,PatroCorr,0.0
SP500,0.1,2,NFCI,0.0
SP500,0.1,3,Neely,0.0
SP500,0.12,1,PatroCorr,0.0
SP500,0.12,2,Neely,0.0
SP500,0.12,3,NFCI,0.0
SP500,0.15,1,NFCI,0.0
SP500,0.15,2,CISS,0.0
SP500,0.15,3,PatroCorr,0.0
