drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.0867,0.2371,0.2371,0.1563,0.4135,0.3507,0.2267,0.1152,0.2503,0.3442,0.3123,0.4197,0.3912,0.5762,0.1986,0.0518,0.47,0.4328,0.0663
0.05,0.2099,0.4029,0.4029,0.1136,0.4079,0.4331,0.2573,0.0861,0.3793,0.3147,0.2438,0.3986,0.1084,0.7515,0.2931,0.1607,0.1846,0.6817,0.0854
0.08,0.3496,0.46,0.46,0.1671,0.1146,0.6178,0.3282,0.3631,0.0515,0.5785,0.108,0.1115,0.1566,0.7171,0.2411,0.1323,0.332,0.4038,0.268
0.1,0.5342,0.3846,0.3846,0.4753,0.0949,0.5446,0.5276,0.5578,0.0681,0.8275,0.1014,0.1433,0.2708,0.6548,0.3059,0.2765,0.1929,0.2722,0.3111
0.12,0.4469,0.3321,0.3321,0.4706,0.1091,0.4003,0.6239,0.6315,0.1127,0.6711,0.0842,0.0865,0.1722,0.5296,0.2791,0.2982,0.2123,0.2523,0.4999
0.15,0.4755,0.3195,0.3195,0.6008,0.2159,0.6719,0.701,0.4492,0.1606,0.9097,0.2911,0.093,0.3175,0.5492,0.4715,0.3884,0.3779,0.3292,0.5523
