family,0.03,0.05,0.08,0.1,0.12,0.15
Credit & Term-Structure,0.1871,0.2126,0.2834,0.3044,0.3668,0.372
Macro & Real-Activity,0.1465,0.1796,0.1986,0.2472,0.2884,0.3476
Systemic-Risk & Contagion,0.1583,0.1613,0.1613,0.2071,0.2603,0.3142
Valuation & Trend,0.1149,0.1227,0.1988,0.1917,0.2756,0.4014
Volatility & Tail-Risk,0.2617,0.231,0.2266,0.1922,0.2169,0.2558
