drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.6122,0.1534,0.1534,0.3158,0.1208,0.1443,0.0897,0.6352,0.6584,0.3001,0.2914,0.1962,0.4674,0.3372,0.6257,0.535,0.2086,0.2998,0.2321
0.05,0.409,0.0978,0.0978,0.1839,0.0386,0.4513,0.1814,0.2117,0.2515,0.1776,0.4745,0.1204,0.4245,0.4559,0.6877,0.3937,0.5389,0.3278,0.254
0.08,0.3459,0.2024,0.2024,0.4545,0.134,0.663,0.1732,0.1459,0.2844,0.1585,0.2894,0.2807,0.2425,0.3294,0.3577,0.3301,0.5343,0.375,0.1178
0.1,0.4516,0.3547,0.3547,0.5076,0.1418,0.3973,0.3089,0.2635,0.1351,0.204,0.4475,0.3411,0.2652,0.3505,0.522,0.474,0.4427,0.2775,0.2959
0.12,0.4168,0.4144,0.4144,0.5585,0.4197,0.3949,0.2255,0.2255,0.4247,0.3336,0.5237,0.1313,0.4066,0.2745,0.5353,0.5717,0.523,0.3543,0.4338
0.15,0.5088,0.1952,0.1952,0.6667,0.4617,0.3057,0.5556,0.4774,0.4996,0.9376,0.4856,0.1411,0.4088,0.2525,0.5528,0.4774,0.4632,0.336,0.646
