drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.1886,0.567,0.567,0.0967,0.2622,0.0861,0.2121,0.179,0.0341,0.0259,0.1795,0.4428,0.6425,0.3745,0.0767,0.2106,0.177,0.3649,0.0662
0.05,0.0821,0.1715,0.1715,0.0993,0.7562,0.0307,0.1193,0.137,0.1104,0.0491,0.0784,0.4187,0.3929,0.2547,0.1361,0.0966,0.2751,0.4397,0.0238
0.08,0.2073,0.1285,0.1285,0.1989,0.0627,0.0264,0.2185,0.4004,0.34,0.0568,0.0515,0.4822,0.266,0.2028,0.2206,0.1595,0.2975,0.3604,0.0749
0.1,0.2815,0.3479,0.3479,0.1405,0.1332,0.0195,0.2231,0.1897,0.4702,0.0888,0.0789,0.5418,0.606,0.1828,0.2202,0.1258,0.4365,0.351,0.126
0.12,0.2312,0.4863,0.4863,0.1786,0.3545,0.0182,0.382,0.1534,0.4398,0.1448,0.2317,0.3141,0.3887,0.3458,0.435,0.1295,0.688,0.3508,0.2792
0.15,0.3703,0.4418,0.4418,0.2977,0.213,0.1151,0.4634,0.2996,0.5039,0.4271,0.2075,0.306,0.1607,0.5785,0.3481,0.1403,0.4364,0.5572,0.1478
