drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.133,0.0515,0.0515,0.1198,0.2502,0.0006,0.0111,0.0715,0.0389,0.1484,0.0891,0.5422,0.321,0.2673,0.3547,0.1182,0.1025,0.3053,0.0536
0.05,0.2215,0.0391,0.0391,0.3025,0.2929,0.0037,0.0129,0.2005,0.1038,0.2165,0.1214,0.4964,0.1973,0.2967,0.4612,0.1622,0.1141,0.2675,0.0282
0.08,0.5208,0.1498,0.1498,0.1274,0.1427,0.0191,0.0354,0.28,0.3523,0.233,0.1132,0.2368,0.251,0.2338,0.5194,0.169,0.1959,0.2147,0.0457
0.1,0.4853,0.2233,0.2233,0.0918,0.3409,0.1332,0.0621,0.5205,0.1823,0.4549,0.0892,0.4395,0.19,0.3429,0.544,0.2705,0.2628,0.2922,0.0738
0.12,0.4814,0.3949,0.3949,0.2221,0.1027,0.2887,0.1543,0.4256,0.3303,0.2842,0.1728,0.4476,0.3974,0.2614,0.4763,0.2952,0.6392,0.5619,0.0821
0.15,0.4701,0.4031,0.4031,0.4458,0.1894,0.0963,0.2286,0.5034,0.4725,0.3964,0.1487,0.3874,0.3038,0.3187,0.8474,0.3148,0.6223,0.4832,0.0893
