drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.0062,0.4276,0.4276,0.2236,0.1964,0.0771,0.2471,0.0015,0.0055,0.4912,0.0549,0.2535,0.1534,0.279,0.0114,0.015,0.0499,0.3143,0.0979
0.05,0.0452,0.4902,0.4902,0.2314,0.256,0.0012,0.2585,0.012,0.0185,0.3029,0.0102,0.6087,0.1642,0.3021,0.0368,0.0424,0.0496,0.241,0.1811
0.08,0.0677,0.7689,0.7689,0.6052,0.1472,0.0174,0.1742,0.014,0.0456,0.2463,0.0201,0.6285,0.3155,0.2933,0.084,0.0377,0.1716,0.159,0.0888
0.1,0.0471,0.7523,0.7523,0.366,0.2771,0.0114,0.1171,0.103,0.0786,0.1357,0.0528,0.4913,0.4184,0.0862,0.1315,0.0452,0.2614,0.1857,0.0326
0.12,0.089,0.7379,0.7379,0.5545,0.3109,0.0034,0.3248,0.2702,0.1806,0.7612,0.0763,0.4913,0.452,0.191,0.2349,0.1125,0.2918,0.3333,0.2126
0.15,0.089,0.6207,0.6207,0.4764,0.1553,0.0042,0.3796,0.1704,0.1868,0.4946,0.3579,0.2191,0.3728,0.4888,0.1806,0.0512,0.4308,0.3333,0.1788
