drawdown_threshold,HY_Spread,Yield_Curve,YC_10Y3M,SahmIndicator,M2_Growth,CFNAI,EPU,Shiller_CAPE,BuffettDeviation,Neely,VIX,RSkew,RSV_Ratio,HillTail,CISS,NFCI,PatroCorr,Systemic_Corr,Downside_Beta
0.03,0.0,0.6443,0.0037,0.3015,0.2495,0.095,0.1168,0.0,0.0588,0.0,0.0067,0.3185,0.023,0.0825,0.0018,0.0,0.0,0.0,0.2184
0.05,0.0,0.2527,0.0045,0.6079,0.5455,0.0989,0.0073,0.0009,0.0289,0.0,0.0063,0.293,0.0153,0.0716,0.0001,0.0,0.0,0.0,0.0023
0.08,0.0,0.2819,0.0099,0.3472,0.3054,0.0496,0.0452,0.0,0.0149,0.0,0.0039,0.2853,0.0148,0.0751,0.0003,0.0,0.0,0.0005,0.0114
0.1,0.0,0.0904,0.0272,0.2463,0.3167,0.0193,0.0395,0.0,0.0128,0.0,0.0033,0.1781,0.0103,0.0695,0.0,0.0,0.0,0.0025,0.0057
0.12,0.0002,0.2231,0.0112,0.2495,0.4416,0.0133,0.0292,0.0001,0.0849,0.0,0.0034,0.231,0.0141,0.0867,0.0,0.0,0.0,0.0004,0.0053
0.15,0.0,0.1261,0.0394,0.0908,0.4278,0.0072,0.1436,0.0013,0.0046,0.0,0.0221,0.5061,0.0359,0.0278,0.0,0.0,0.0,0.0098,0.0009
