Date,ISF.L,IUCD.L,IUIT.L,IUKF.L,IUKH.L,IUKP.L,IUKS.L,IUKU.L
2009-01-02,456.2296142578125,,,,,367.0482177734375,,
2009-01-05,457.97100830078125,,,,,365.05609130859375,,
2009-01-06,463.1949768066406,,,,,388.96148681640625,,
2009-01-07,449.26416015625,,,,,387.4674377441406,,
2009-01-08,450.01055908203125,,,,,379.9968566894531,,
2009-01-09,444.537841796875,,,,,372.5263671875,,
2009-01-12,441.5526428222656,,,,,364.0599670410156,,
2009-01-13,438.8161315917969,,,,,351.111083984375,,
2009-01-14,417.4226989746094,,,,,326.707763671875,,
2009-01-15,411.94989013671875,,,,,312.264892578125,,
2009-01-16,414.6863098144531,,,,,309.7747497558594,,
2009-01-19,410.9549560546875,,,,,302.80224609375,,
2009-01-20,408.21844482421875,,,,,282.8810729980469,,
2009-01-21,406.4772033691406,,,,,286.3671569824219,,
2009-01-22,405.9797058105469,,,,,283.8770751953125,,
2009-01-23,404.4871520996094,,,,,267.9400329589844,,
2009-01-26,420.9053649902344,,,,,274.9126281738281,,
2009-01-27,419.16400146484375,,,,,267.9400329589844,,
2009-01-28,429.1144714355469,,,,,272.9204406738281,,
2009-01-29,418.9152526855469,,,,,262.46185302734375,,
2009-01-30,414.6863098144531,,,,,271.92431640625,,
2009-02-02,407.9697570800781,,,,,255.48936462402344,,
2009-02-03,415.9301452636719,,,,,258.4776611328125,,
2009-02-04,423.8904724121094,,,,,270.4302978515625,,
2009-02-05,424.1392822265625,,,,,257.97955322265625,,
2009-02-06,430.35833740234375,,,,,269.93231201171875,,
2009-02-09,432.09967041015625,,,,,289.85345458984375,,
2009-02-10,422.89544677734375,,,,,282.8810729980469,,
2009-02-11,424.1392822265625,,,,,279.8927917480469,,
2009-02-12,421.1542053222656,,,,,267.9400329589844,,
2009-02-13,419.4127502441406,,,,,267.9400329589844,,
2009-02-16,413.9401550292969,,,,,262.9599304199219,,
2009-02-17,403.9895324707031,,,,,244.53274536132812,,
2009-02-18,402.9945373535156,,,,,243.03863525390625,,
2009-02-19,404.4871520996094,,,,,238.05836486816406,,
2009-02-20,390.556396484375,,,,,225.10960388183594,,
2009-02-23,387.07379150390625,,,,,222.61949157714844,,
2009-02-24,384.33740234375,,,,,220.1293182373047,,
2009-02-25,383.5909423828125,,,,,232.5800018310547,,
2009-02-26,390.05889892578125,,,,,241.04653930664062,,
2009-02-27,381.84967041015625,,,,,244.53274536132812,,
2009-03-02,361.9487609863281,,,,,227.1016387939453,,
2009-03-03,350.5056457519531,,,,,218.6351776123047,,
2009-03-04,364.18756103515625,,,,,221.12533569335938,,
2009-03-05,352.9932861328125,,,,,222.12139892578125,,
2009-03-06,351.74951171875,,,,,211.66275024414062,,
2009-03-09,351.74951171875,,,,,200.7061004638672,,
2009-03-10,369.9091491699219,,,,,208.67457580566406,,
2009-03-11,368.91412353515625,,,,,208.67457580566406,,
2009-03-12,370.904296875,,,,,211.1647491455078,,
2009-03-13,375.13311767578125,,,,,223.117431640625,,
2009-03-16,385.5812683105469,,,,,234.57211303710938,,
2009-03-17,385.083740234375,,,,,237.0623321533203,,
2009-03-18,380.3571472167969,,,,,239.0543975830078,,
2009-03-19,380.3571472167969,,,,,254.9913787841797,,
2009-03-20,384.5860290527344,,,,,252.99925231933594,,
2009-03-23,395.233154296875,,,,,254.49339294433594,,
2009-03-24,391.5513916015625,,,,,256.98345947265625,,
2009-03-25,390.05889892578125,,,,,252.0032196044922,,
2009-03-26,393.0439758300781,,,,,247.52090454101562,,
2009-03-27,389.6607971191406,,,,,252.0032196044922,,
2009-03-30,376.12823486328125,,,,,234.07408142089844,,
2009-03-31,391.9495849609375,,,,,242.04263305664062,,
2009-04-01,395.13360595703125,,,,,246.52488708496094,,
2009-04-02,410.5569152832031,,,,,271.4263916015625,,
2009-04-03,402.2979736328125,,,,,274.9126281738281,,
2009-04-06,398.019287109375,,,,,277.9007263183594,,
2009-04-07,391.0538330078125,,,,,269.4342346191406,,
2009-04-08,391.4519958496094,,,,,276.9046325683594,,
2009-04-09,397.32257080078125,,,,,298.81805419921875,,
2009-04-14,398.7159118652344,,,,,310.2727355957031,,
2009-04-15,396.1285705566406,,,,,301.8061218261719,,
2009-04-16,404.4871520996094,,,,,299.8141174316406,,
2009-04-17,408.3677978515625,,,,,305.29241943359375,,
2009-04-20,397.32257080078125,,,,,287.3634033203125,,
2009-04-21,397.4222412109375,,,,,284.37506103515625,,
2009-04-22,402.2979736328125,,,,,303.30029296875,,
2009-04-23,401.1038513183594,,,,,294.8337707519531,,
2009-04-24,414.3380126953125,,,,,303.7982482910156,,
2009-04-27,415.33319091796875,,,,,296.3277893066406,,
2009-04-28,409.1638488769531,,,,,287.86126708984375,,
2009-04-29,418.7162170410156,,,,,294.3356018066406,,
2009-04-30,424.08941650390625,,,,,301.30810546875,,
2009-05-01,423.6915283203125,,,,,294.8337707519531,,
2009-05-05,432.6468200683594,,,,,307.7826232910156,,
2009-05-06,439.81121826171875,,,,,320.2332763671875,,
2009-05-07,440.5078125,,,,,326.707763671875,,
2009-05-08,445.88116455078125,,,,,308.778564453125,,
2009-05-11,443.5924987792969,,,,,305.7904357910156,,
2009-05-12,442.79644775390625,,,,,301.8061218261719,,
2009-05-13,434.0399475097656,,,,,273.41851806640625,,
2009-05-14,437.522705078125,,,,,276.9046325683594,,
2009-05-15,437.1246032714844,,,,,275.90863037109375,,
2009-05-18,446.3785705566406,,,,,283.37908935546875,,
2009-05-19,449.86126708984375,,,,,296.3277893066406,,
2009-05-20,449.86126708984375,,,,,299.8141174316406,,
2009-05-21,437.522705078125,,,,,282.38299560546875,,
2009-05-22,439.1147766113281,,,,,288.8573913574219,,
2009-05-26,443.3934020996094,,,,,284.8731689453125,,
2009-05-27,439.1147766113281,,,,,289.85345458984375,,
2009-05-28,436.22894287109375,,,,,284.37506103515625,,
2009-05-29,439.1147766113281,,,,,285.8692321777344,,
2009-06-01,448.2692565917969,,,,,298.3199768066406,,
2009-06-02,445.1844787597656,,,,,293.8377990722656,,
2009-06-03,437.82122802734375,,,,,283.8770751953125,,
2009-06-04,438.3187561035156,,,,,289.85345458984375,,
2009-06-05,442.8959655761719,,,,,290.3515319824219,,
2009-06-08,440.10980224609375,,,,,291.845703125,,
2009-06-09,439.9108581542969,,,,,293.3396301269531,,
2009-06-10,443.4929504394531,,,,,297.8219299316406,,
2009-06-11,445.2840881347656,,,,,297.8219299316406,,
2009-06-12,442.9954833984375,,,,,299.8141174316406,,
2009-06-15,431.15435791015625,,,,,293.3396301269531,,
2009-06-16,431.3533020019531,,,,,292.34375,,
2009-06-17,427.0747375488281,,,,,284.37506103515625,,
2009-06-18,427.1741943359375,,,,,282.8810729980469,,
2009-06-19,434.2391357421875,,,,,290.84954833984375,,
2009-06-22,422.59698486328125,,,,,281.8849792480469,,
2009-06-23,423.1938781738281,,,,,280.888916015625,,
2009-06-24,427.671630859375,,,,,283.37908935546875,,
2009-06-25,424.68658447265625,,,,,284.37506103515625,,
2009-06-26,423.8904724121094,,,,,285.8692321777344,,
2009-06-29,429.36334228515625,,,,,290.3515319824219,,
2009-06-30,425.0844421386719,,,,,286.3671569824219,,
2009-07-01,433.74139404296875,,,,,287.86126708984375,,
2009-07-02,421.70147705078125,,,,,282.8810729980469,,
2009-07-03,422.89544677734375,,,,,281.38702392578125,,
2009-07-06,418.9152526855469,,,,,276.4066162109375,,
2009-07-07,417.7210998535156,,,,,276.9046325683594,,
2009-07-08,413.2435302734375,,,,,269.93231201171875,,
2009-07-09,415.23358154296875,,,,,269.4342346191406,,
2009-07-10,412.0495300292969,,,,,269.93231201171875,,
2009-07-13,419.1142272949219,,,,,276.9046325683594,,
2009-07-14,423.0943908691406,,,,,280.888916015625,,
2009-07-15,433.841064453125,,,,,288.8573913574219,,
2009-07-16,435.3336486816406,,,,,295.3318176269531,,
2009-07-17,438.11956787109375,,,,,297.8219299316406,,
2009-07-20,443.1944885253906,,,,,297.8219299316406,,
2009-07-21,447.1746520996094,,,,,303.30029296875,,
2009-07-22,448.2692565917969,,,,,301.8061218261719,,
2009-07-23,454.83648681640625,,,,,304.7943420410156,,
2009-07-24,456.7270812988281,,,,,311.76678466796875,,
2009-07-27,457.12506103515625,,,,,302.3042907714844,,
2009-07-28,451.453369140625,,,,,302.80224609375,,
2009-07-29,453.24444580078125,,,,,304.2962646484375,,
2009-07-30,462.1998596191406,,,,,312.264892578125,,
2009-07-31,459.7123107910156,,,,,316.7471923828125,,
2009-08-03,467.57318115234375,,,,,316.7471923828125,,
2009-08-04,466.1800537109375,,,,,324.7154846191406,,
2009-08-05,463.990966796875,,,,,341.6485595703125,,
2009-08-06,468.7671813964844,,,,,356.0914611816406,,
2009-08-07,472.84686279296875,,,,,350.6131591796875,,
2009-08-10,472.0508728027344,,,,,359.0796203613281,,
