market,drawdown_threshold,freq,horizon,target,indicator,pseudo_r2,p_value,z_score,coef,odds_ratio,n_obs,n_crisis
SP500,0.03,M,12,Crisis_next_12M,PatroCorr,0.2546993830383656,2.9353029945904436e-13,-7.297331809310619,-12.82611077365255,2.6896196358717034e-06,305,60
SP500,0.03,M,18,Crisis_next_18M,PatroCorr,0.2544761807941931,4.831396363500745e-13,-7.229959066838695,-12.567087435720012,3.4848434504570187e-06,299,57
SP500,0.03,M,18,Crisis_next_18M,Shiller_CAPE,0.22522943861098055,1.846031401321949e-11,6.717709586785439,0.2385632288708429,1.2694239677430532,299,57
SP500,0.03,M,6,Crisis_next_6M,PatroCorr,0.20123095176834127,4.2900132680275865e-12,-6.927282516019457,-11.111048761013942,1.4946270397141557e-05,311,63
SP500,0.03,M,12,Crisis_next_12M,Shiller_CAPE,0.1986046256159283,5.330619088923039e-11,6.5613964387723245,0.2220347947302269,1.24861482232436,305,60
SP500,0.03,M,24,Crisis_next_24M,PatroCorr,0.18879572911986753,2.3828326470256973e-10,-6.334389243387603,-9.92542838271491,4.891490595317511e-05,293,44
SP500,0.03,M,24,Crisis_next_24M,Systemic_Corr,0.18656790961719305,2.9963941483950193e-09,-5.931795650368606,-9.409940328062875,8.190583468539675e-05,293,44
SP500,0.03,M,18,Crisis_next_18M,Systemic_Corr,0.16063878463291492,1.2896795305746536e-09,-6.068677341724582,-8.534681261944414,0.00019653279165143063,299,57
SP500,0.03,M,24,Crisis_next_24M,Shiller_CAPE,0.15837933503907198,9.426309692470132e-09,5.740741124551977,0.1831304650378351,1.200971082598065,293,44
SP500,0.03,M,12,Crisis_next_12M,Systemic_Corr,0.1114627728165043,6.037799768267636e-08,-5.417678090186493,-6.7805713573934865,0.0011356258646883165,305,60
SP500,0.03,M,24,Crisis_next_24M,Yield_Curve,0.1082140435622605,2.2642330199041576e-06,-4.728285818924492,-0.9422657135969671,0.3897437864396091,293,44
SP500,0.03,M,24,Crisis_next_24M,YC_10Y3M,0.10641777073825232,1.2664405803689863e-06,-4.844949231649262,-0.6583501210752586,0.5177047804633654,293,44
SP500,0.03,W,16,Crisis_next_16W,PatroCorr,0.09462647849785333,5.9458437292213735e-28,-10.960062278683633,-7.136791318768943,0.000795299870550812,1356,269
SP500,0.03,W,12,Crisis_next_12W,PatroCorr,0.08136481409874752,3.9282258162733675e-25,-10.356057192587308,-6.605760554018972,0.0013525540919180079,1360,279
SP500,0.03,W,8,Crisis_next_8W,PatroCorr,0.08068987919943471,2.9880660807571204e-24,-10.160088006999239,-6.550744790964614,0.0014290508576857177,1364,257
SP500,0.03,M,6,Crisis_next_6M,Neely,0.0730129868584648,1.541356151609703e-06,4.805797803931029,1.4332354639152873,4.1922411177644285,311,63
SP500,0.03,D,5,Crisis_next_5D,VIX,0.060380978311220246,1.7545711954768575e-53,15.39550215210274,0.0634789328443375,1.0655370377303712,6603,536
SP500,0.03,M,18,Crisis_next_18M,BuffettDeviation,0.059954055519417904,6.356737691483608e-05,3.9991611902343527,2.551768416482278,12.829772113700106,299,57
SP500,0.03,M,6,Crisis_next_6M,Shiller_CAPE,0.05774385005108307,3.614382894754589e-05,4.1308411447001365,0.10839930896892236,1.11449268347098,311,63
SP500,0.03,M,6,Crisis_next_6M,Systemic_Corr,0.05710288307278277,3.297141354008941e-05,-4.151908470995356,-4.656451688205692,0.009500112026275037,311,63
SP500,0.03,M,24,Crisis_next_24M,EPU,0.05706768867690415,0.001366269328358319,-3.2016836918025793,-0.010988583598398357,0.9890715703491739,293,44
SP500,0.03,M,12,Crisis_next_12M,Neely,0.055123543712201406,3.741911813631389e-05,4.122863669832549,1.2447565280482196,3.4720893400498127,305,60
SP500,0.03,M,18,Crisis_next_18M,Downside_Beta,0.05471449178147869,0.00022734672193755625,-3.6865142445943273,-3.0948400392932003,0.045282255262514844,299,57
SP500,0.03,D,5,Crisis_next_5D,Neely,0.053973872751377105,2.613994370524801e-46,14.287617722499768,1.3107734745526045,3.7090414521830994,6603,536
SP500,0.03,M,12,Crisis_next_12M,BuffettDeviation,0.05168444855046517,0.00014425810076218343,3.8007511854142004,2.362261113854919,10.61492589375599,305,60
SP500,0.03,D,5,Crisis_next_5D,CISS,0.04992606048211523,9.981610162949623e-49,14.670358625763233,3.1487105800643826,23.305993985032405,6603,536
SP500,0.03,M,12,Crisis_next_12M,Downside_Beta,0.04455789073509209,0.0006179724878788083,-3.4236011490852656,-2.6975177893698037,0.06737253818829332,305,60
