Date,EXH1.DE,EXSA.DE,EXV1.DE,EXV2.DE,EXV3.DE,EXV4.DE,EXV5.DE,EXV9.DE
2008-01-02,25.280595779418945,24.582197189331055,24.841272354125977,20.864810943603516,25.547279357910156,30.434688568115234,22.436933517456055,12.692163467407227
2008-01-03,25.75844383239746,24.507848739624023,24.72393035888672,20.696908950805664,25.478469848632812,30.249353408813477,21.878393173217773,12.403199195861816
2008-01-04,25.37730598449707,24.03472137451172,24.23697280883789,20.61296272277832,24.583881378173828,29.940448760986328,20.647062301635742,12.040141105651855
2008-01-07,25.73567771911621,23.987411499023438,24.107894897460938,21.055105209350586,23.766712188720703,30.504186630249023,20.52012062072754,11.810452461242676
2008-01-08,25.61054801940918,24.129356384277344,24.03160858154297,21.396501541137695,24.050575256347656,31.562177658081055,20.57089614868164,11.7437744140625
2008-01-09,25.212339401245117,23.818437576293945,23.71479606628418,21.26218605041504,23.28501319885254,32.149105072021484,20.113908767700195,11.254756927490234
2008-01-10,24.734479904174805,23.588634490966797,23.485973358154297,21.23979377746582,23.345226287841797,32.08731460571289,20.2535457611084,11.091748237609863
2008-01-11,24.381778717041016,23.473735809326172,23.6678524017334,20.94877052307129,23.328027725219727,31.7243595123291,20.513782501220703,11.225118637084961
2008-01-14,24.336273193359375,23.548070907592773,23.726524353027344,20.691307067871094,23.809720993041992,31.469524383544922,20.843820571899414,11.343667030334473
2008-01-15,23.687755584716797,22.953304290771484,22.9168643951416,20.489830017089844,23.42264175415039,30.71270179748535,20.06947898864746,11.017657279968262
2008-01-16,23.215593338012695,22.737016677856445,22.617643356323242,20.450651168823242,23.2506103515625,30.836259841918945,20.075830459594727,11.069520950317383
2008-01-17,22.97098159790039,22.628873825073242,22.506166458129883,20.489830017089844,23.31082534790039,30.558244705200195,19.631528854370117,11.15843391418457
2008-01-18,22.811695098876953,22.38555335998535,21.94293212890625,20.38908576965332,22.975358963012695,30.53507423400879,19.269744873046875,11.017657279968262
2008-01-21,21.49760627746582,21.12162971496582,20.458555221557617,19.426437377929688,21.530254364013672,29.322629928588867,18.66042709350586,10.506413459777832
2008-01-22,21.702396392822266,21.58123779296875,21.42662239074707,19.42083740234375,21.882925033569336,29.384424209594727,18.812763214111328,10.980607986450195
2008-01-23,20.68412971496582,20.93238067626953,20.951383590698242,18.570125579833984,21.21198272705078,28.751171112060547,18.133621215820312,11.03247356414795
2008-01-24,21.873062133789062,22.02056884765625,22.20694351196289,19.224956512451172,23.04416275024414,29.12957191467285,19.168193817138672,11.640037536621094
